Week,Date,Cluster,URL,Existing/New,Primary Keyword,Supporting Keywords,Search Intent,Action,Content Requirement,Image Requirement,Internal Links,Schema,Fact Sources,Priority,Owner Agent,Dependencies,Status
2,2026-09-14,program-ops,keyword-lock-map.csv,—,—,—,—,STAKEHOLDER SIGN-OFF,"Walk stakeholder through keyword-lock-map.csv (578 rows): one-owner-per-keyword rulings, HOLD routes, merge/redirect decisions. Obtain written sign-off; log decisions in change-log.csv.",—,—,—,keyword-lock-map.csv; architecture-brief.md rulings 1-11,P1,SEO Lead,Week 1 fixes live,planned
2,2026-09-14,program-ops,GSC rank baseline,—,—,—,—,BASELINE IMPORT,"Export GSC 16-month query/page data; import rank baseline for all 578 locked keywords into rank tracker; annotate ""not tracked"" Current Rank cells in lock map where data exists; snapshot impressions for 41 /dubai/ pages (input to Grade-B re-grade at day 90).",—,—,—,GSC; keyword-lock-map.csv,P1,Analytics Specialist,GSC access,planned
2,2026-09-14,cannibalization,/ vs /service/pet-relocation-dubai/ + directional pairs,Existing,—,—,—,CANNIBALIZATION RESOLUTIONS LIVE,"Implement anti-cannibalization rulings on-page: homepage stops targeting service-page money terms (internal anchors point to /service/pet-relocation-dubai/); confirm inbound/outbound directional twins (/to-dubai vs /import, /from-dubai vs /export, dog/cat root vs service species) carry distinct intent signalling; adjust titles/anchors where lock map flags risk.",—,Anchor changes per internal-link-map.csv P1 rows,—,architecture-brief rulings 1-11,P1,SEO Lead,W2 sign-off,planned
2,2026-09-14,program-ops,editorial workflow setup,—,—,—,—,PROCESS,"Stand up production workflow: brief template (14 questions + 10-check AI content gate), named-author policy, last-verified date display component (30/90/180-day freshness classes), change-log and lock-map update SOPs for the weekly cycle.",—,—,—,regulatory-source-of-truth.csv freshness classes,P2,SEO Lead,—,planned
2,2026-09-14,program-ops,(week 2 close-out),—,—,—,—,WEEKLY REVIEW,"Weekly review of Week 2 KEYWORD MARKET MAPPING (lock map signed off, baseline imported, cannibalization resolutions live). 13-point weekly output checklist: (1) work completed vs plan; (2) URLs created; (3) URLs modified; (4) URLs merged/redirected; (5) keywords assigned/confirmed in keyword-lock-map; (6) internal links added vs internal-link-map; (7) images delivered vs image-map; (8) schema deployed & validated; (9) regulatory facts verified against regulatory-source-of-truth (30/90/180-day freshness); (10) problems/blockers encountered; (11) ranking movement (GSC/rank tracker); (12) indexation status; (13) next-week tasks confirmed.",—,—,—,regulatory-source-of-truth.csv; trust-claims-register.csv,P1,SEO Lead,All week-2 tasks,planned
3,2026-09-21,core-money,/,Existing,pet relocation Dubai,pet relocation UAE; pet relocation services Dubai; dog/cat relocation Dubai,commercial (category entry),REBUILD IA + REFRESH,"Homepage IA rebuild per homepage-ia.md (BINDING): cut 10,052 -> ~2,500-3,000 words; apply 48-section disposition map (KEEP as cards/strips, MOVE detail to hubs, DELETE 2 fluff sections); 12-section target structure; compliance block figures must match corrected source-of-truth (30-day permit post-verification); no fee figures until W1 portal verification closes; trust bar = verified claims only.","11 images (3 original-photo, 8 AI-acceptable) per image-map.csv — Hero: Owner kneeling beside golden retriever next to an open IATA ; Trust bar: Overhead flat lay of a pet travel document folder, crate har; Services strip (card 1): German Shepherd standing calmly in a correctly sized travel ; Services strip (card 2): British Shorthair cat resting inside a fabric-lined carrier ; Services strip (card 3): Close-up of hands checking a printed pet relocation checklis; Services strip (card 4): Climate-controlled van interior with a secured travel crate ; Routes strip: Beagle in a crate at a home doorway with a Dubai balcony sky; How it works: Seven-step horizontal process infographic from consultation ; Compliance block: Close-up detail of IATA crate hardware: metal door grid, bol; Local coverage: Stylised flat map of Dubai with paw markers over key communi; FAQ / final CTA: Ragdoll cat on owner's lap while owner types on a phone",0 inbound (0 P1) / 21 outbound planned in internal-link-map.csv,Organization + WebSite + LocalBusiness + BreadcrumbList + ItemList + FAQPage,MOCCAE; trust-claims-register.csv (claims barred until verified),P0,Content Writer,W1 VETO fix + fee verification + trust-claim hold; homepage-ia.md,planned — ACCELERATE (dfs 390)
3,2026-09-21,core-money,/service/pet-relocation-dubai/,Existing,pet relocation Dubai,pet relocation services Dubai; pet shipping Dubai; pet movers Dubai; pet cargo Dubai,commercial,EXPAND,"EXPAND 892 -> 2,000-2,500 words for the money head term (900/mo): new title/H1 per roadmap, cost table (verified fees only), route cards, fold ""pet shipping/cargo Dubai"" secondaries (ruling 11), verified trust signals, new FAQs, CTA: Get a Relocation Quote.","4 images (1 original-photo, 3 AI-acceptable) per image-map.csv — Hero: Handler carrying a small travel carrier with a cat inside fr; Process: Five-stage horizontal process graphic from quote to delivery; Detail: Toy poodle standing on a mat while a coordinator measures it; CTA: Owner hugging a corgi beside an open crate in a new apartmen",5 inbound (4 P1) / 3 outbound planned in internal-link-map.csv,Organization + WebSite + BreadcrumbList + Service + FAQPage + HowTo,MOCCAE; IATA; verified fee figures only,P0,Content Writer,W1 corrections; homepage de-duplication (ruling 1),planned — ACCELERATE (dfs 390)
3,2026-09-21,core-money,/service/pet-transport-dubai/,Existing,pet transport Dubai,pet taxi Dubai; pet transport UAE; pet transport Dubai to Abu Dhabi; MOCCAE approved pet transport Dubai,commercial/local,EXPAND,"EXPAND 1,473 -> 1,800-2,200 words: capture ""pet taxi Dubai"" (170/mo, Falcon Vet owns SERP with AED tables) — transparent local AED pricing, district coverage table, airport-transfer rates, inter-emirate (DXB-AUH) section. CTA: WhatsApp a Relocation Coordinator.","4 images (1 original-photo, 3 AI-acceptable) per image-map.csv — Hero: Interior of an unbranded climate-controlled van: two secured; Process: Simple route-map diagram Dubai to Abu Dhabi with timing; Detail: Handler offering water to a leashed dog during a rest stop i; CTA: Cat in a carrier being buckled into a van seat with a seatbe",37 inbound (2 P1) / 5 outbound planned in internal-link-map.csv,Organization + WebSite + BreadcrumbList + Service + FAQPage,MOCCAE (transport rules); internal pricing (verified),P0,Content Writer,W1 corrections,planned — ACCELERATE retarget: capture pet taxi Dubai (dfs 590) as secondary; keep transport intent
3,2026-09-21,directional-inbound,/service/pet-relocation-to-dubai/,Existing,pet relocation to Dubai,moving to Dubai with pets; moving to Dubai with a dog; bringing pets to Dubai,commercial/informational (inbound),EXPAND,"Keep ~2,100-2,400 words; sharpen INBOUND-only focus (arrival-side: import permit, cargo arrival, settling in) per ruling 2; deconflict from /service/pet-import-dubai/; 90-day VETO already fixed W1 — recheck; new title/H1 per roadmap.","4 images (0 original-photo, 4 AI-acceptable) per image-map.csv — Hero: Owner opening a crate in a new Dubai apartment as a ginger c; Process: Eight-step inbound journey diagram from home-country vet to ; Detail: Owner setting up a water bowl and bed corner for a spaniel i; CTA: Phone in hand showing a plain chat bubble composition next t",15 inbound (15 P1) / 2 outbound planned in internal-link-map.csv,Organization + WebSite + BreadcrumbList + Service + FAQPage + HowTo,MOCCAE; USDA APHIS,P0,Content Writer,W1 corrections,planned — ACCELERATE (dfs 390)
3,2026-09-21,directional-outbound,/service/pet-relocation-from-dubai/,Existing,pet relocation from Dubai,leaving Dubai with pets; pet export Dubai; moving pets out of UAE,commercial/informational (outbound),EXPAND,"Keep ~1,700-2,000 words; departure-side differentiation per ruling 3; verify export cert fee (AED 100 first-party vs 300-700 stated) — use W1 portal result; link outbound route pages; CTA: Check Your Timeline.","4 images (0 original-photo, 4 AI-acceptable) per image-map.csv — Hero: Owner and a husky on a Dubai balcony at golden hour, packed ; Process: Seven-step outbound journey diagram with destination-variati; Detail: Checklist card with ticked boxes beside a zip-tied document ; CTA: Owner closing a villa door carrying a cat carrier toward a w",10 inbound (10 P1) / 2 outbound planned in internal-link-map.csv,Organization + WebSite + BreadcrumbList + Service + FAQPage + HowTo,"MOCCAE export cert (AED 100, 1 working day, 30-day validity)",P0,Content Writer,W1 fee verification,planned — ACCELERATE (dfs 390)
3,2026-09-21,core-money,/service/international-pet-relocation/,Existing,international pet relocation Dubai,international pet relocation UAE; pet shipping Dubai; worldwide pet relocation,commercial,EXPAND,"EXPAND 1,549 -> 2,000-2,500 words per ruling 4: airline-selection framework, ""pet shipping/cargo Dubai"" secondaries, link all route pages (live + planned), NO unverified country counts (50+ countries claim held).","4 images (0 original-photo, 4 AI-acceptable) per image-map.csv — Hero: Flat world map with curved route lines radiating from Dubai; Process: Coordinator at a desk with two phones and a laptop showing a; Detail: Decision diagram comparing in-cabin, excess baggage and carg; CTA: Crate with a sleeping dachshund inside, soft warehouse light",4 inbound (3 P1) / 5 outbound planned in internal-link-map.csv,Organization + WebSite + BreadcrumbList + Service + FAQPage,IATA; Emirates; Etihad; trust-claims-register,P3,Content Writer,W1 trust-claim hold,planned — DEFER/THIN after accelerate set (dfs primary null)
3,2026-09-21,breed-dog,/service/dog-relocation-dubai/,Existing,dog relocation Dubai,dog relocation UAE; large dog relocation Dubai; dog transport Dubai,commercial (species),EXPAND,"Keep ~2,300 words; verify breed-ban list against Federal Law 22/2016 Annex 2 + Decree 190/2021; strengthen breed checks/crates/airline rules sections; differentiate from /dog-relocation-to-dubai/ (ruling 8); CTA: Check Pet Eligibility.","4 images (1 original-photo, 3 AI-acceptable) per image-map.csv — Hero: German Shepherd being measured for a crate by a coordinator ; Process: Six-step dog relocation diagram with breed-check first step; Detail: Split diagram: brachycephalic vs standard head shapes with l; CTA: Labrador off-leash on a grassy Dubai community dog park at s",5 inbound (5 P1) / 3 outbound planned in internal-link-map.csv,Organization + WebSite + BreadcrumbList + Service + FAQPage,u.ae Federal Law 22/2016 Annex 2; Ministerial Decree 190/2021; IATA,P2,Content Writer,W1 corrections,planned — lower urgency after accelerate set (dfs 30)
3,2026-09-21,breed-cat,/service/cat-relocation-dubai/,Existing,cat relocation Dubai,cat relocation UAE; cat transport Dubai; flying Persian cat to Dubai,commercial (species),EXPAND,"Keep ~2,200 words (strong: sedation guidance, carrier acclimation); new title per roadmap; clarify Emirates USD 1,500-5,000 is CARGO not cabin; cross-link Etihad cabin guide when live (W11).","4 images (1 original-photo, 3 AI-acceptable) per image-map.csv — Hero: British Shorthair cat resting half-inside an open carrier on; Process: Five-step cat relocation diagram starting with carrier accli; Detail: Diagram explaining why sedation is avoided at altitude; CTA: Owner reading on a sofa while a tabby cat sleeps in an open ",3 inbound (3 P1) / 3 outbound planned in internal-link-map.csv,Organization + WebSite + BreadcrumbList + Service + FAQPage,Emirates (USD 500/650/800 cargo); Etihad (USD 399 cabin),P2,Content Writer,W1 corrections,planned — lower urgency after accelerate set (dfs 10)
3,2026-09-21,core-money,/services/,Existing,pet relocation services Dubai (tiers),pet relocation packages Dubai; pet relocation price tiers,commercial/navigational (hub),EXPAND,"EXPAND 873 -> 1,200-1,500 words: tier-comparison table (PawPilot/PawPartner/PawVIP) with route-level example pricing to counter PawPaths published tiers (AED 799/2,499/4,999); highest conversion-intent page after contact; CTA: Get a Relocation Quote.",2 service-tier comparison graphics per image-map.csv,3+ inbound P1 anchors per internal-link-map.csv,Organization + WebSite + Service + BreadcrumbList,internal verified pricing only,P0,Content Writer,W3 service page expansions (prices must agree),planned — ACCELERATE (dfs 320)
3,2026-09-21,program-ops,(week 3 close-out),—,—,—,—,WEEKLY REVIEW,Weekly review of Week 3 CORE MONEY PAGES (homepage IA rebuild + 8 money/service pages expanded). 13-point weekly output checklist: (1) work completed vs plan; (2) URLs created; (3) URLs modified; (4) URLs merged/redirected; (5) keywords assigned/confirmed in keyword-lock-map; (6) internal links added vs internal-link-map; (7) images delivered vs image-map; (8) schema deployed & validated; (9) regulatory facts verified against regulatory-source-of-truth (30/90/180-day freshness); (10) problems/blockers encountered; (11) ranking movement (GSC/rank tracker); (12) indexation status; (13) next-week tasks confirmed.,—,—,—,regulatory-source-of-truth.csv; trust-claims-register.csv,P1,SEO Lead,All week-3 tasks,planned
4,2026-09-28,cost,/guides/pet-relocation-cost-dubai/,Existing,pet relocation Dubai cost,pet relocation cost UAE; pet shipping cost Dubai; cost to move dog to Dubai; MOCCAE pet permit fee,informational/commercial (cost),EXPAND,"EXPAND into strongest UAE cost resource (~3,200+ words): strict fee-TYPE separation (government / vet / freight / crate / handling / coordination); comparison tables per route and pet size; VERIFIED figures only (W1 MOCCAE portal results for permit AED 200 vs 500 and release 500/250 vs 1,000/500 conflicts); plan cost-calculator interactive feature ON THIS URL (not a new URL). CTA: Calculate Estimated Cost.","3 images (0 original-photo, 3 AI-acceptable) per image-map.csv — Hero: Overhead flat lay: crate, measuring tape, calculator, docume; Cost breakdown: Stacked-bar diagram of a typical relocation cost by componen; Cost by pet size: Three-crate size comparison diagram (cat, small dog, large d",4 inbound (2 P1) / 1 outbound planned in internal-link-map.csv,Organization + WebSite + FAQPage + Article + BreadcrumbList,MOCCAE portal (W1 verification); ADRO; Dubai Municipality; Emirates; Etihad,P3,Content Writer,W1 fee verification (BLOCKING),deferred — thin/hold until demand evidence or Labs (dfs primary null)
4,2026-09-28,core-money,/guides/pet-relocation-companies-dubai/,New,best pet relocation company Dubai,top pet relocation companies Dubai; how to choose a pet relocation company Dubai; licensed pet relocation company Dubai; IPATA pet shipper Dubai,commercial investigation/comparison,CREATE,"CREATE 2,000-2,500-word honest comparison (competitor gap #4; SERP owned by error-prone PropertyFinder listicles, ~200/mo cluster): verifiable criteria only (licensing, IPATA membership check, facilities, pricing transparency), include competitors fairly, DISCLOSE DPR authorship/bias; legal review before publish. CTA: Get a Relocation Quote.","3 images (0 original-photo, 3 AI-acceptable) per image-map.csv — Hero: Flat illustration of three clipboard report cards being comp; Criteria section: Scorecard diagram of evaluation criteria with how-to-verify ; Consultation section: Coordinator on a video call with a client, a checklist visib",3 inbound (0 P1) / 3 outbound planned in internal-link-map.csv,Article + FAQPage + BreadcrumbList,"Verifiable public sources only (license registers, IPATA directory); trust-claims-register rules",P3,Content Writer,Legal review; W2 sign-off; bias-disclosure template,deferred — CREATE hold until demand evidence or Labs (dfs primary null)
4,2026-09-28,b2b,/service/corporate-pet-relocation/,New,corporate pet relocation Dubai,employee relocation with pets UAE; HR relocation package pets Dubai; bulk pet transport UAE; corporate relocation pet services Dubai,commercial (B2B),CREATE,"CREATE 1,200-1,800-word B2B page (130/mo cluster, low volume/high contract value; brief ruling): HR/procurement framing — SLA, invoicing, multi-employee volume pricing, policy-compliant documentation, assignee experience; RFP CTA (not instant WhatsApp quote). Scheduled W4 (light week) ahead of W7-W11 capacity pressure.","4 images (0 original-photo, 4 AI-acceptable) per image-map.csv — Hero: Employee packing a Dubai apartment for an international assi; Process: Workflow diagram of a corporate pet-move program from HR ref; Detail: Two crates side by side (cat and small dog) strapped into a ; CTA: Laptop on a desk with a plain email draft composition and a ",3 inbound (1 P1) / 3 outbound planned in internal-link-map.csv,Article + FAQPage + BreadcrumbList + Service,MOCCAE; internal SLA/pricing (verified),P3,Content Writer,Stakeholder confirms B2B offer terms,deferred — CREATE hold until demand evidence or Labs (dfs primary null)
4,2026-09-28,program-ops,(week 4 close-out),—,—,—,—,WEEKLY REVIEW,"Weekly review of Week 4 COST + DECISION (cost guide expanded to strongest UAE resource, comparison page + corporate page created). 13-point weekly output checklist: (1) work completed vs plan; (2) URLs created; (3) URLs modified; (4) URLs merged/redirected; (5) keywords assigned/confirmed in keyword-lock-map; (6) internal links added vs internal-link-map; (7) images delivered vs image-map; (8) schema deployed & validated; (9) regulatory facts verified against regulatory-source-of-truth (30/90/180-day freshness); (10) problems/blockers encountered; (11) ranking movement (GSC/rank tracker); (12) indexation status; (13) next-week tasks confirmed.",—,—,—,regulatory-source-of-truth.csv; trust-claims-register.csv,P1,SEO Lead,All week-4 tasks,planned
5,2026-10-05,core-money,/service/pet-import-dubai/,Existing,pet import Dubai,pet import UAE; how to import a pet to UAE; MOCCAE import permit application,commercial,EXPAND,"Keep ~2,700 words (Q8, strong structure): apply corrected 30-day permit validity (2 instances fixed W1 — verify), use W1 fee outcome; keep commercial intent distinct from guide (ruling 5); add arrival-clearance summary linking new arrival guide (W11).","4 images (1 original-photo, 3 AI-acceptable) per image-map.csv — Hero: Pet travel crates on a pallet in a generic air-cargo warehou; Process: Six-step import process diagram from permit to delivery; Detail: Hands assembling a document folder: vaccination card, microc; CTA: Family opening their villa door to a handler handing over a ",4 inbound (4 P1) / 4 outbound planned in internal-link-map.csv,Organization + WebSite + BreadcrumbList + Service + FAQPage + HowTo,MOCCAE; USDA APHIS; W1 portal verification,80,Content Writer,W1 corrections,planned
5,2026-10-05,governance-requirements,/guides/uae-pet-import-requirements/,Existing,UAE pet import requirements,Dubai pet import rules; pet vaccination requirements UAE import; documents needed to bring pet to Dubai,informational,EXPAND,"Keep ~3,800 words; verify all regulatory wording per source-of-truth: 30-day permit validity, RNATT sample-within-90-days rule, vaccine sequence (microchip BEFORE rabies, 12 weeks + 21 days), 2-pets-per-person rule, AED 5,000 non-compliance fine, manifest-cargo rule (Etihad cabin exception); fix Emirates ""$1,500-5,000"" label clarity (cargo).","3 images (0 original-photo, 3 AI-acceptable) per image-map.csv — Hero: Flat checklist-board illustration with documents, syringe, m; Step-by-step section: Import timeline diagram from first vet visit to arrival; Vaccination section: Vet scanning a cat's microchip with a handheld reader in a c",9 inbound (1 P1) / 4 outbound planned in internal-link-map.csv,Organization + WebSite + FAQPage + Article + BreadcrumbList,MOCCAE; USDA APHIS; RAK Customs; Emirates,65,Content Writer,W1 corrections; Regulatory Fact-Checker sign-off,planned
5,2026-10-05,governance-moccae,/guides/moccae-import-permit/,Existing,MOCCAE import permit,how to apply for MOCCAE pet permit; how long does a MOCCAE permit take; MOCCAE import permit cost,informational (how-to),EXPAND,"EXPAND 1,369 -> 1,800-2,200 words: FOLD IN application walkthrough (single intent per brief — no separate walkthrough URL): UAE Pass login, form fields, REJECTION REASONS section (competitor gap #8; DeloroPets pays ads on this term); correct validity to 30 days + W1-verified fee; ""DIY vs managed"" honest comparison. This is the linkable asset; cross-link /service/moccae-pet-permit/ heavily (ruling 10).","3 images (0 original-photo, 3 AI-acceptable) per image-map.csv — Hero: Flat illustration of an application form on a clipboard with; Application walkthrough: Numbered application walkthrough diagram from account to app; Rejection reasons section: Warning checklist diagram of rejection causes and fixes",3 inbound (1 P1) / 1 outbound planned in internal-link-map.csv,Organization + WebSite + FAQPage + BreadcrumbList + HowTo,MOCCAE portal (W1); USDA APHIS; UAE Pass flow,74,Content Writer,W1 fee verification; UAE Pass screenshots (Image Producer),planned
5,2026-10-05,governance-titer,/guides/rabies-titer-test-dubai/,Existing,rabies titer test Dubai,rabies titre test UAE pet import; FAVN test Dubai; does my pet need a rabies titer test for Dubai,informational,EXPAND,"Keep ~1,600 words; LOCK correct timing rule (sample within 90 days BEFORE travel, not ""90-day wait""; 0.5 IU/ml threshold); flag exempt-country list — could not be captured first-party, verify on MOCCAE portal before publishing list.","3 images (0 original-photo, 3 AI-acceptable) per image-map.csv — Hero: Flat diagram of the titer test concept: blood vial to lab re; Timeline section: Timeline diagram from vaccination through blood draw to trav; Vet visit section: Vet drawing a small blood sample from a calm dog's leg while",3 inbound (0 P1) / 0 outbound planned in internal-link-map.csv,Organization + WebSite + FAQPage + BreadcrumbList + HowTo,MOCCAE (RNATT rule); exempt-list verification pending,65,Content Writer,W1 corrections; MOCCAE exempt-list check,planned
5,2026-10-05,governance-moccae,/service/moccae-pet-permit/,Existing,MOCCAE pet permit,MOCCAE pet import permit; MOCCAE pet export permit; express MOCCAE permit,commercial (permit assistance),EXPAND,"Keep ~2,100 words; REGULATORY-BLOCKING page: confirm both 90-day instances fixed (W1), publish W1-verified permit fee, refresh processing-time language (2-5 working days, secondary-sourced — label as estimate); keep commercial twin role vs guide (ruling 10).","4 images (1 original-photo, 3 AI-acceptable) per image-map.csv — Hero: Coordinator's desk with an organised permit application fold; Process: Flowchart of the permit application from documents to approv; Detail: Checklist diagram of the most common application mistakes; CTA: Flat graphic of a document folder with a friendly checkmark ",4 inbound (3 P1) / 3 outbound planned in internal-link-map.csv,Organization + WebSite + BreadcrumbList + Service + FAQPage + HowTo,MOCCAE portal (W1); regulatory-source-of-truth rows 2-7,74,Content Writer,W1 verification; W5 guide rewrite (consistency),planned
5,2026-10-05,regulatory-correction,site-wide regulatory wording audit,Existing,—,—,—,REGULATORY PASS,"Full-site wording pass against regulatory-source-of-truth.csv (118 claims): confirm every regulatory figure on every live page matches authority value + confidence level; add last-verified date display per freshness class (30-day: airline/fees; 90-day; 180-day: stable rules); update ""Page Using The Claim"" column from TBD to actual URLs.",—,—,—,regulatory-source-of-truth.csv (all 118 claims),P1,Regulatory Fact-Checker,W1-W5 page work complete for covered pages,planned
5,2026-10-05,program-ops,(week 5 close-out),—,—,—,—,WEEKLY REVIEW,"Weekly review of Week 5 IMPORT AUTHORITY (import service + 3 guides expanded, MOCCAE permit service fixed, site-wide regulatory pass). 13-point weekly output checklist: (1) work completed vs plan; (2) URLs created; (3) URLs modified; (4) URLs merged/redirected; (5) keywords assigned/confirmed in keyword-lock-map; (6) internal links added vs internal-link-map; (7) images delivered vs image-map; (8) schema deployed & validated; (9) regulatory facts verified against regulatory-source-of-truth (30/90/180-day freshness); (10) problems/blockers encountered; (11) ranking movement (GSC/rank tracker); (12) indexation status; (13) next-week tasks confirmed.",—,—,—,regulatory-source-of-truth.csv; trust-claims-register.csv,P1,SEO Lead,All week-5 tasks,planned
