Claim,Source,Source URL,Jurisdiction,Date Checked,Last-Updated Date If Available,Confidence Level,Page Using The Claim,Next Review Date
"UAE Annex 2 dangerous dog list was amended by Ministerial Decree No. 190 of 2021, which also set conditions for importing service/emotional-support/medical dogs",ECOLEX (FAOLEX) / UAE Ministry of Justice,https://www.ecolex.org/details/legislation/ministerial-decree-no-190-of-2021-to-amend-annex-no-2-attached-to-federal-law-no-22-of-2016-on-regulating-possession-of-dangerous-animals-lex-faoc221655/,UAE,2026-09-04,,medium,TBD - assign during page build,2026-12-03
All dogs in the UAE must be licensed by the competent authority and registered (with microchip number and vaccination record) under Articles 12-13 of Federal Law No. 22 of 2016,UAE Government portal (u.ae),https://assets.u.ae/api/public/content/e0c559ea4a0c408a963390576c2341b1?v=be78685f,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
"Dogs must be leashed in public in the UAE; unleashed dogs may be detained (Federal Law 22/2016, Article 15)",UAE Government portal (u.ae),https://assets.u.ae/api/public/content/e0c559ea4a0c408a963390576c2341b1?v=be78685f,UAE,2026-09-04,,high,TBD - assign during page build,2026-12-03
Puppies and kittens under ~15 weeks cannot be imported to the UAE (derived: rabies vaccine at >=12 weeks + mandatory 21-day wait before arrival),MOCCAE (derived from vaccination rules),https://www.moccae.gov.ae/assets/5064985a/pet-import-permit-dogs-and-cats.aspx,UAE,2026-09-04,,medium,TBD - assign during page build,2026-12-03
"Every pet leaving the UAE needs a MOCCAE veterinary health certificate for export, applied for online via the MOCCAE digital services portal (UAE Pass login) with an in-person examination at a MOCCAE quarantine centre (e.g. Dubai Airport Cargo Village or Zayed International Airport)","MOCCAE (via secondary: pawssible.ai, verified 02/09/2026)",https://pawssible.ai/guides/moccae-export-permit,UAE,2026-09-04,2026-09-02,secondary-source,TBD - assign during page build,2026-12-03
MOCCAE export health certificate fee: AED 100 for a personal consignment of up to 2 animals (AED 400 for other consignments); stated service time 1 working day; certificate valid 30 days from issue,"MOCCAE (via secondary: pawssible.ai, verified 02/09/2026)",https://pawssible.ai/guides/moccae-export-permit,UAE,2026-09-04,2026-09-02,secondary-source,TBD - assign during page build,2026-12-03
"Destination-country requirements (e.g. titer tests, specific certificate formats, endorsement) must be met BEFORE the MOCCAE export health certificate is issued - plan from the destination backwards",RelocateMyPet (secondary),https://relocatemypet.ae/hub/moccae-pet-travel-documentation,UAE,2026-09-04,,secondary-source,TBD - assign during page build,2026-12-03
"Pet registration with Dubai Municipality is mandatory (dog licence required under Federal Law 22/2016); registration done via dm.gov.ae, Dubai Now app or veterinary clinics",UAE Government portal (u.ae) / Dubai Municipality,https://assets.u.ae/api/public/content/e0c559ea4a0c408a963390576c2341b1?v=be78685f,UAE - Dubai,2026-09-04,,high,TBD - assign during page build,2026-12-03
Dubai Municipality registration & numbering fee: AED 10 for dogs/cats (AED 20 other animals) + AED 50 per microchip + AED 20 knowledge & innovation fee + 5% VAT (secondary source citing DM fee schedule - verify on dm.gov.ae),Property Finder citing Dubai Municipality (secondary),https://www.propertyfinder.ae/blog/pet-rules-dubai/,UAE - Dubai,2026-09-04,2026-02-24,secondary-source,TBD - assign during page build,2026-12-03
"Dubai Municipality pet registration requires annual renewal with up-to-date vaccination records; unregistered/unvaccinated pets risk fines (approx AED 150-500, secondary)",PetSpoiler.ae (secondary),https://www.petspoiler.ae/registering-your-pet-in-dubai-complete-guide/,UAE - Dubai,2026-09-04,2026-07-03,secondary-source,TBD - assign during page build,2026-12-03
"Emirates does not carry animals in the cabin, except falcons between Dubai and certain destinations in Pakistan, and guide dogs for the blind",Emirates,https://www.emirates.com/english/help/faq-topics/baggage-and-lost-property/faq/what-are-the-rules-and-charges-for-travelling-with-animals/,UAE / Emirates network,2026-09-04,,high,TBD - assign during page build,2026-10-04
"On Emirates, ALL itineraries ending in Dubai: animals must be transported as cargo (Emirates SkyCargo); from Dubai, falcons, cats, dogs and pet birds may travel as checked baggage in the hold if total journey time is under 17 hours",Emirates,https://www.emirates.com/english/help/faq-topics/baggage-and-lost-property/faq/what-are-the-rules-and-charges-for-travelling-with-animals/,UAE / Emirates network,2026-09-04,,high,TBD - assign during page build,2026-10-04
"Emirates animal charges: USD 500 (pet+carrier <=23kg and <=150cm); USD 650 (24-32kg, 150-300cm); USD 800 (>32kg, <=300cm); containers over 300cm travel as cargo",Emirates,https://www.emirates.com/english/help/faq-topics/baggage-and-lost-property/faq/what-are-the-rules-and-charges-for-travelling-with-animals/,UAE / Emirates network,2026-09-04,,high,TBD - assign during page build,2026-10-04
Emirates does not accept birds (except some falcons) for transit via Dubai as checked baggage or cargo between 1 May and 30 September each year,Emirates,https://www.emirates.com/english/help/faq-topics/baggage-and-lost-property/faq/what-are-the-rules-and-charges-for-travelling-with-animals/,UAE / Emirates network,2026-09-04,,high,TBD - assign during page build,2026-10-04
Emirates requires the pet travel form to be submitted at least 1 week before the flight; minimum pet age 4 months,Emirates,https://www.emirates.com/english/help/forms/pets-travel/,UAE / Emirates network,2026-09-04,,high,TBD - assign during page build,2026-10-04
"Emirates: max two adult animals of comparable size, each up to 14kg, may share one container; animals over 14kg must travel in separate containers",Emirates,https://www.emirates.com/english/help/faq-topics/baggage-and-lost-property/faq/what-are-the-rules-and-charges-for-travelling-with-animals/,UAE / Emirates network,2026-09-04,,high,TBD - assign during page build,2026-10-04
"Emirates: pregnant animals not accepted beyond one-third of gestation, nor within 48 hours of giving birth",Emirates,https://www.emirates.com/english/help/faq-topics/baggage-and-lost-property/faq/what-are-the-rules-and-charges-for-travelling-with-animals/,UAE / Emirates network,2026-09-04,,high,TBD - assign during page build,2026-10-04
Emirates requires a valid import permit and government-endorsed health certificate for the destination before accepting animals,Emirates,https://www.emirates.com/english/help/faq-topics/baggage-and-lost-property/faq/what-are-the-rules-and-charges-for-travelling-with-animals/,UAE / Emirates network,2026-09-04,,high,TBD - assign during page build,2026-10-04
Emirates SkyCargo transports pets as manifest cargo under IATA Live Animals Regulations with dedicated 'Emirates Pets' product,Emirates SkyCargo,https://www.skycargo.com/products/live/pets/,UAE / Emirates network,2026-09-04,,high,TBD - assign during page build,2026-10-04
Emirates restricts/bans snub-nosed (brachycephalic) breeds from checked baggage/cargo on some or all routes (breed list not found on current first-party Emirates page - secondary only),PetTravel.com (secondary),https://www.pettravel.com/information/airlines/emirates-pet-policy/,UAE / Emirates network,2026-09-04,,secondary-source,TBD - assign during page build,2026-10-04
Etihad is the only UAE airline accepting small dogs and cats in the cabin; pets must be at least 16 weeks old and weigh up to 8kg including carrier; owner must be 18+,Etihad,https://www.etihad.com/en-ae/plan/travel-companion/travelling-with-pets,UAE / Etihad network,2026-09-04,,high,TBD - assign during page build,2026-10-04
Etihad cabin pet fee: from USD 399 Economy (source: Etihad). Business extra seat plus USD 399. Confirm live at booking — fees change. Do not reprint circulating USD 1,500 as a current fee.,Etihad,https://www.etihad.com/en-ae/plan/travel-companion/travelling-with-pets,UAE / Etihad network,2026-09-04,,high,TBD - assign during page build,2026-10-04
Etihad: submit pet booking form at least 7 days before the flight and email required documents at least 72 hours before,Etihad,https://www.etihad.com/en-ae/plan/travel-companion/travelling-with-pets,UAE / Etihad network,2026-09-04,,high,TBD - assign during page build,2026-10-04
Etihad carrier limits: max 40x40x22cm under seat; 50x43x50cm if an extra seat is purchased; at least 16% of the container ventilated on at least three sides; escape- and leak-proof,Etihad,https://www.etihad.com/en-ae/plan/travel-companion/travelling-with-pets,UAE / Etihad network,2026-09-04,,high,TBD - assign during page build,2026-10-04
"Flying to Abu Dhabi with a pet on Etihad requires a pet release permit, a completed UAE Health Certificate and an Abu Dhabi Customs Bill of Entry",Etihad,https://www.etihad.com/en-ae/plan/travel-companion/travelling-with-pets,UAE / Etihad network,2026-09-04,,high,TBD - assign during page build,2026-10-04
Etihad: falcons permitted in the cabin on all Etihad-operated flights - Economy 1 falcon/person (2 with extra seat); Business 2/person (3 with extra seat); First 2/person,Etihad,https://www.etihad.com/en-ae/plan/travel-companion/travelling-with-pets,UAE / Etihad network,2026-09-04,,high,TBD - assign during page build,2026-10-04
flydubai does not allow animals in the cabin except falcons with special prior approval; all other pets travel via flydubai Cargo,flydubai,https://www.flydubai.com/en/flying-with-us/baggage/special-baggage,UAE / flydubai network,2026-09-04,,high,TBD - assign during page build,2026-10-04
flydubai does not offer checked-baggage (AVIH) service for animals; pets under 6 months need pre-approval from flydubai Cargo Special Handling Desk; snub-nosed and listed aggressive breeds not accepted (per secondary),PetTravel.com (secondary),https://www.pettravel.com/information/airlines/flydubai-pet-policy/,UAE / flydubai network,2026-09-04,2025-12-06,secondary-source,TBD - assign during page build,2026-10-04
Qatar Airways does not accept pets in cabin (PETC) except falcons; dogs/cats travel as checked baggage (AVIH) or cargo; service dogs free in cabin on specific routings only,Qatar Airways,https://www.qatarairways.com/tradeportal/en/specialservices/Carriage-of-live-animals.html,Qatar / Qatar Airways network,2026-09-04,,high,TBD - assign during page build,2026-10-04
Saudia: household pets accepted on direct routes; dogs must travel in the ventilated cargo hold; cats and small birds may travel in cabin or hold; falcons accepted in cabin when hooded; all live animals must be registered on the MEWA NAAMA portal before travel,Saudia,https://www.saudia.com/book/flight-information/travelling-with-pets,Saudi Arabia / Saudia network,2026-09-04,,high,TBD - assign during page build,2026-10-04
"IATA Live Animals Regulations (LAR) Container Requirement 1 (CR1) applies to pet cats and dogs: the animal must be able to stand and sit erect, turn around normally while standing, and lie in a natural position",IATA,https://www.iata.org/en/programs/cargo/live-animals/pets/,International (air transport),2026-09-04,,high,TBD - assign during page build,2026-12-03
"IATA container size formula: length = A + 1/2 B (A=nose to base of tail, B=ground to elbow); width = C x 2 (C=widest point); height = D + bedding (D=natural standing height to head/ear tip)",IATA,https://www.iata.org/en/programs/cargo/live-animals/pets/,International (air transport),2026-09-04,,high,TBD - assign during page build,2026-12-03
IATA: snub-nosed (brachycephalic) breeds require a container 10% larger than the standard calculation,IATA,https://www.iata.org/en/programs/cargo/live-animals/pets/,International (air transport),2026-09-04,,high,TBD - assign during page build,2026-12-03
"IATA: max two adult animals up to 14kg each that are used to cohabiting may share one container; animals over 14kg must be crated individually; puppies/kittens from the same litter, under 6 months and under 14kg each, max 3 per container",IATA,https://www.iata.org/en/programs/cargo/live-animals/pets/,International (air transport),2026-09-04,,high,TBD - assign during page build,2026-12-03
"IATA advises against transporting snub-nose dogs (boxers, pugs, bulldogs, Pekingese) in the hot season due to body-temperature regulation difficulty",IATA,https://www.iata.org/en/programs/cargo/live-animals/pets/,International (air transport),2026-09-04,,high,TBD - assign during page build,2026-10-04
"IATA Traveler's Pet Corner provides the CR1 container requirements (CR1 LAR 2026 edition), travel preparation and health guidance for passengers",IATA,https://www.iata.org/en/publications/newsletters/iata-knowledge-hub/making-in-cabin-pet-travel-easier-iata-new-initiatives/,International (air transport),2026-09-04,2026-06-08,high,TBD - assign during page build,2026-12-03
"The UAE is a 'listed country' for Great Britain pet travel, so dogs/cats from the UAE do NOT need a rabies blood test (titre) to enter GB",GOV.UK,https://www.gov.uk/bring-pet-to-great-britain,United Kingdom,2026-09-04,,high,TBD - assign during page build,2026-12-03
Pets entering GB from the UAE (non-EU listed country) need a GB pet health certificate issued by an official vet in the UAE within 10 days of arrival (travellers from GB use an Animal Health Certificate),GOV.UK,https://www.gov.uk/bring-pet-to-great-britain,United Kingdom,2026-09-04,,high,TBD - assign during page build,2026-12-03
"GB entry: pet must be microchipped BEFORE rabies vaccination, and rabies vaccination must be given at least 21 days before travel (pet at least 12 weeks old)",GOV.UK,https://www.gov.uk/bring-pet-to-great-britain,United Kingdom,2026-09-04,,high,TBD - assign during page build,2026-12-03
"Dogs entering GB need tapeworm (Echinococcus multilocularis) treatment by a vet 24 to 120 hours (1-5 days) before arrival (exempt arrivals from Finland, Ireland, NI, Malta, Norway)",GOV.UK,https://www.gov.uk/bring-pet-to-great-britain,United Kingdom,2026-09-04,,high,TBD - assign during page build,2026-12-03
Pets must travel to GB on approved routes with approved carriers; pets arriving by air to GB generally travel as cargo and are checked at an animal reception centre,GOV.UK,https://www.gov.uk/bring-pet-to-great-britain,United Kingdom,2026-09-04,,high,TBD - assign during page build,2026-12-03
Max 5 pets per person may enter GB under non-commercial pet travel rules (more requires commercial rules),GOV.UK,https://www.gov.uk/bring-pet-to-great-britain,United Kingdom,2026-09-04,,high,TBD - assign during page build,2026-12-03
Pets failing GB entry rules can be refused entry or quarantined for up to 4 months at the owner's expense,GOV.UK,https://www.gov.uk/bring-pet-to-great-britain,United Kingdom,2026-09-04,,medium,TBD - assign during page build,2026-12-03
"Since 1 August 2024, ALL dogs entering the USA must be at least 6 months old, have an ISO-compatible microchip, appear healthy, and be accompanied by a CDC Dog Import Form receipt",CDC,https://www.cdc.gov/importation/dogs/index.html,USA,2026-09-04,,high,TBD - assign during page build,2026-12-03
Dogs that have been only in rabies-free or low-risk countries in the prior 6 months need only the CDC Dog Import Form + microchip + 6-month age + healthy appearance; no rabies vaccination proof required by CDC,CDC,https://www.cdc.gov/importation/dogs/rabies-free-low-risk-countries.html,USA,2026-09-04,,high,TBD - assign during page build,2026-12-03
The UAE is on CDC's list of high-risk countries for dog rabies (list page rendered dynamically; presence corroborated by multiple secondary sources and CDC-approved-lab routing guidance),CDC,https://www.cdc.gov/importation/dogs/high-risk-countries.html,USA,2026-09-04,,medium,TBD - assign during page build,2026-12-03
"Foreign-vaccinated dogs from high-risk countries (incl. UAE) need: Certification of Foreign Rabies Vaccination and Microchip form (completed <=30 days before travel, valid for single entry), government-vet endorsement, CDC Dog Import Form receipt, and reservation at a CDC-registered animal care facility",CDC,https://www.cdc.gov/importation/dogs/foreign-vaccinated-high-risk-countries.html,USA,2026-09-04,2026-07-07,high,TBD - assign during page build,2026-12-03
Dogs from high-risk countries without a valid CDC-approved-lab rabies titer must undergo a 28-day quarantine at a CDC-registered animal care facility at the importer's expense,CDC,https://www.cdc.gov/importation/dogs/foreign-vaccinated-high-risk-countries.html,USA,2026-09-04,2026-07-07,high,TBD - assign during page build,2026-12-03
CDC titer timing: blood drawn at least 30 days after the first valid rabies vaccination AND at least 28 days before US entry; passing titer valid for the dog's life if vaccination coverage never lapses,CDC,https://www.cdc.gov/importation/dogs/foreign-vaccinated-high-risk-countries.html,USA,2026-09-04,2026-07-07,high,TBD - assign during page build,2026-12-03
Microchip must be implanted before the rabies vaccination or the vaccine is invalid for CDC purposes; first rabies vaccine accepted at >=12 weeks (84 days) of age and >=28 days before entry,CDC,https://www.cdc.gov/importation/dogs/foreign-vaccinated-high-risk-countries.html,USA,2026-09-04,2026-07-07,high,TBD - assign during page build,2026-12-03
"Foreign-vaccinated dogs from high-risk countries may only arrive by air at a US airport with a CDC-registered animal care facility (no such facilities in Alaska, Hawaii or US territories)",CDC,https://www.cdc.gov/importation/dogs/foreign-vaccinated-high-risk-countries.html,USA,2026-09-04,2026-07-07,high,TBD - assign during page build,2026-12-03
US-vaccinated dogs returning from high-risk countries need the Certification of U.S.-Issued Rabies Vaccination form; USDA-endorsed export health certificates issued after 31 July 2025 are no longer accepted for re-entry,CDC,https://www.cdc.gov/importation/dogs/us-vaccinated-high-risk-countries.html,USA,2026-09-04,2026-04-28,high,TBD - assign during page build,2026-12-03
CDC dog import rules do NOT apply to cats; cats must appear healthy on arrival and rabies vaccination requirements are set by the destination state/territory (check state rules),CDC / USDA APHIS,https://www.aphis.usda.gov/pet-travel,USA,2026-09-04,,medium,TBD - assign during page build,2026-12-03
Canada (CFIA): personal pet dogs 3 months and older need a valid rabies vaccination certificate (English/French) identifying the animal; no federal import permit for personal pets,CFIA (via secondary; CFIA pets pages returned 404 during check - flag),https://www.ferndalekennels.com/en/blog/pet-quarantine-canada/,Canada,2026-09-04,,secondary-source,TBD - assign during page build,2026-12-03
Canada: cats 3 months and older need a rabies vaccination certificate; cats under 3 months exempt; no quarantine for compliant personal pets,CFIA (via secondary),https://www.ferndalekennels.com/en/blog/pet-quarantine-canada/,Canada,2026-09-04,,secondary-source,TBD - assign during page build,2026-12-03
"Canada: dogs under 8 months imported for commercial purposes (resale/adoption/breeding/exhibition) require an import permit, microchip and health certificate",CFIA (via secondary),https://www.petmovers.com/moving-your-pet-to-canada-us-guide/,Canada,2026-09-04,,secondary-source,TBD - assign during page build,2026-12-03
Canada: CBSA/CFIA border inspection fee of approx CAD 30 + tax applies to pet imports from non-US origins,CFIA/CBSA (via secondary),https://www.ferndalekennels.com/en/blog/pet-quarantine-canada/,Canada,2026-09-04,,secondary-source,TBD - assign during page build,2026-12-03
The UAE is a DAFF Group 3 approved country: cats and dogs can be exported directly from the UAE to Australia under Group 3 conditions,Australian Government DAFF,https://www.agriculture.gov.au/biosecurity-trade/cats-dogs/how-to-import/step-by-step-guides/category-3-step-by-step-guide-for-dogs,Australia,2026-09-04,2026-02-20,high,TBD - assign during page build,2026-12-03
"Australia Group 3: dog/cat must have lived in an approved country for at least 180 days before export (counted from the date the RNATT sample arrives at the laboratory); the 180 days is a residency period, not quarantine",Australian Government DAFF,https://www.agriculture.gov.au/biosecurity-trade/cats-dogs/how-to-import/step-by-step-guides/category-3-step-by-step-guide-for-dogs,Australia,2026-09-04,2026-02-20,high,TBD - assign during page build,2026-12-03
Australia Group 3 requires a rabies vaccination followed by an RNATT (rabies neutralising antibody titre test) result of >=0.5 IU/ml from an approved laboratory,Australian Government DAFF,https://www.agriculture.gov.au/biosecurity-trade/cats-dogs/how-to-import/step-by-step-guides/category-3-step-by-step-guide-for-dogs,Australia,2026-09-04,,high,TBD - assign during page build,2026-12-03
"Australia: post-entry quarantine for cats and dogs only at the Mickleham post-entry quarantine facility (Melbourne); minimum 10-30 days, up to 180 days if risk issues arise",Australian Government DAFF,https://www.agriculture.gov.au/biosecurity-trade/cats-dogs/frequently-asked-questions,Australia,2026-09-04,2026-07-01,high,TBD - assign during page build,2026-12-03
Australia: quarantine can be reduced from 30 to a 10-day minimum if official identity verification is completed before the RNATT blood draw and at least 180 days before export,Australian Government DAFF,https://www.agriculture.gov.au/biosecurity-trade/cats-dogs/how-to-import/step-by-step-guides/category-3-step-by-step-guide-for-dogs,Australia,2026-09-04,,high,TBD - assign during page build,2026-12-03
Australia: an import permit (applied via BICON) is required before quarantine can be booked; an import permit does not guarantee a quarantine place,Australian Government DAFF,https://www.agriculture.gov.au/biosecurity-trade/cats-dogs/frequently-asked-questions,Australia,2026-09-04,2026-07-01,high,TBD - assign during page build,2026-12-03
"Australia: hybrid dogs not allowed include Czechoslovakian wolfdog/Vlcak, Saarloos wolfdog, Lupo Italiano and Kunming wolfdog; dogs must not be more than 30 days pregnant or nursing at export",Australian Government DAFF,https://www.agriculture.gov.au/biosecurity-trade/cats-dogs/how-to-import/step-by-step-guides/category-3-step-by-step-guide-for-dogs,Australia,2026-09-04,2026-02-20,high,TBD - assign during page build,2026-12-03
"Australia: pets from non-approved countries (e.g. India) must first reside 180+ days in an approved Group 2/3 country before export to Australia (DAFF policy, described in secondary detail)",Australian Government DAFF (via secondary),https://www.petrelocation.com/blog/post,Australia,2026-09-04,,medium,TBD - assign during page build,2026-12-03
Australia: Bengal cats banned from import since 1 March 2026 (earlier 5th-generation exemption revoked); Savannah cats and wild-cat hybrids never permitted (secondary),Migratio / Pet Holiday Club (secondary),https://migratio.com.au/blog/bringing-a-cat-to-australia,Australia,2026-09-04,2026-06-29,secondary-source,TBD - assign during page build,2026-12-03
"The UAE is on the EU list of third countries/territories whose pet dogs, cats and ferrets are EXEMPT from the rabies antibody titration test for non-commercial entry into the EU",European Commission,https://food.ec.europa.eu/animals/movement-pets/eu-legislation/non-commercial-movement-non-eu-countries_en,European Union,2026-09-04,2026-06-19,high,TBD - assign during page build,2026-12-03
"EU non-commercial entry from third countries: ISO microchip (before rabies vaccination), valid rabies vaccination (21-day wait for primary vaccination), and an EU animal health certificate issued by an official/authorised vet",European Commission,https://food.ec.europa.eu/animals/movement-pets/eu-legislation/non-commercial-movement-non-eu-countries_en,European Union,2026-09-04,,high,TBD - assign during page build,2026-12-03
EU: max 5 pets per traveller under non-commercial rules; more than 5 triggers commercial (Balai) rules unless attending a show/competition,European Commission,https://food.ec.europa.eu/animals/movement-pets/eu-legislation/non-commercial-movement-non-eu-countries_en,European Union,2026-09-04,,high,TBD - assign during page build,2026-12-03
EU pet travel framework updated by Delegated Regulation (EU) 2026/131 and Implementing Regulation (EU) 2026/636 (new country listing),European Commission,https://food.ec.europa.eu/animals/movement-pets/eu-legislation/non-commercial-movement-non-eu-countries_en,European Union,2026-09-04,2026-06-19,high,TBD - assign during page build,2026-12-03
EU animal health certificate is valid for entry into the EU for 10 days from issue and for onward movement within the EU for 4 months,European Commission,https://food.ec.europa.eu/animals/movement-pets/eu-legislation/non-commercial-movement-non-eu-countries_en,European Union,2026-09-04,,medium,TBD - assign during page build,2026-12-03
