URL,Section,Image Objective,Subject,Pet,People,Setting,Orientation,Aspect Ratio,Suggested Filename,Alt Text,Caption,Original Photo Preferred?,AI Image Acceptable?,Image-Generation Prompt,Notes
"https://dubai-pet-relocation.ae/","FAQ / final CTA","Warm closing image beside contact CTA","Ragdoll cat on owner's lap while owner types on a phone","Ragdoll cat","Owner seated on sofa","Cozy Dubai apartment, evening light","landscape","16:9","cta-ragdoll-cat-owner-phone-whatsapp-quote-dubai.jpg","Owner messaging for a pet relocation quote with a Ragdoll cat on their lap in a Dubai apartment","Tell us your route and your pet. A clear plan, in plain language, within one message.","no","yes","Photorealistic documentary-style image of a person on a sofa typing on a smartphone with a Ragdoll cat asleep on their lap, evening warmth, screen not readable, warm natural light, authentic Dubai/UAE context, no logos, no text, no fictional airport signs, editorial photography, landscape 16:9.","Do not show any recognisable messaging-app interface"
"https://dubai-pet-relocation.ae/about/","Hero","Humanise the brand; core E-E-A-T trust asset","Small coordination team of three in a Dubai office with a resident office cat on a desk","Domestic shorthair cat","Three team members, natural poses","Real office, plants and route maps on wall","landscape","16:9","dubai-pet-relocation-team-office-cat.jpg","The Dubai Pet Relocation coordination team in their Dubai office with the office cat","Built by pet owners, run by logistics people.","yes","no","N/A - original photography required. Shot brief: real team, real office; about-page team imagery is a direct E-E-A-T proof claim and must never be synthetic; candid working poses, not stock-style handshakes","Match the named-team-member content added in the about-page REFRESH"
"https://dubai-pet-relocation.ae/about/","Story block","Support the built-by-pet-owners narrative","Founder walking a saluki on an early-morning Dubai community path","Saluki","Founder, back three-quarter view","Quiet Dubai community green path at sunrise","landscape","4:3","founder-walking-saluki-dubai-community-morning.jpg","Dubai Pet Relocation founder walking a saluki through a Dubai community at sunrise","We plan every move the way we would plan our own dog's.","yes","no","N/A - original photography required. Shot brief: real founder and their own dog if possible; identity does not need to face camera","Saluki gives authentic UAE context"
"https://dubai-pet-relocation.ae/how-it-works/","Process overview","Full-page 7-step vertical timeline visual","Vertical 7-step timeline infographic with icons per stage","Paw icons","None","Flat diagram","portrait","4:5","pet-relocation-7-step-timeline-vertical-dubai.png","Vertical timeline of the 7-step pet relocation process used in Dubai, from consultation to reunion","The same seven steps on every tier - only the depth of help changes.","no","yes","Clean flat-design infographic: vertical numbered timeline of the seven pet relocation steps with one icon per step and short space under each for page copy. Labels: 1 Consultation; 2 Document check; 3 Partner matching; 4 Booking; 5 Pre-travel prep; 6 Travel day; 7 Arrival and reunion. Sand-and-teal palette, simple vector icons, no brand logos, no fake official seals, portrait 4:5.","Keep steps identical to homepage diagram"
"https://dubai-pet-relocation.ae/how-it-works/","Travel day","Show what travel day actually looks like; transparency asset","Handler loading a secured crate into an unbranded van at dawn, owner watching with leash in hand","Cockapoo in crate","Handler + owner","Dubai villa driveway at dawn","landscape","16:9","travel-day-crate-loading-van-dubai-dawn.jpg","Handler loading a crated cockapoo into a pet transport van at a Dubai villa on travel day","Travel day: collected at your door, checked in by people we name, tracked until reunion.","yes","no","N/A - original photography required. Shot brief: documentary shot from a real move with client consent; this image implicitly documents operations","Pair with the what-we-handle-vs-partners section"
"https://dubai-pet-relocation.ae/contact/","Hero","Reassure at the conversion point; fast-reply promise","Coordinator at a desk with a headset, a sleeping cat beside the keyboard","Tabby cat","Coordinator, candid","Small Dubai office, warm light","landscape","16:9","contact-coordinator-headset-cat-dubai-office.jpg","Dubai Pet Relocation coordinator answering enquiries with a cat asleep beside the desk","Real people, fast answers - WhatsApp, email or the form below.","yes","no","N/A - original photography required. Shot brief: real staff member; only publish the 15-minute reply caption if that claim is verified in the trust register","Highest-conversion page; keep it human"
"https://dubai-pet-relocation.ae/faq/","Hero","Friendly entry visual for a long FAQ page","Flat illustration of a dog and cat sitting between two large question marks","Stylised dog + cat","None","Flat illustration","landscape","16:9","faq-dog-cat-question-marks-illustration.png","Illustration of a dog and cat with question marks for the Dubai pet relocation FAQ","","no","yes","Flat-design vector illustration of a friendly dog and a cat sitting either side of two large question marks, sand-and-teal palette, rounded shapes, generous whitespace, no text other than the question marks, no brand logos, landscape 16:9.","Decorative illustration acceptable; nothing here implies operations proof"
"https://dubai-pet-relocation.ae/services/","Tier comparison","Let visitors compare PawPilot/PawPartner/PawVIP visually","Three-column comparison diagram of the three service tiers","Simple icons","None","Flat diagram","landscape","16:9","pet-relocation-service-tiers-comparison-dubai.png","Comparison of PawPilot, PawPartner and PawVIP pet relocation service tiers in Dubai","Three tiers, one process. Compare what is included before you choose.","no","yes","Clean flat-design infographic: three-column pricing-tier comparison card layout with checkmark rows. Labels: PawPilot Essential; PawPartner Premium; PawVIP Coordination; row labels to match the on-page comparison table exactly (consultation, document check, permit filing, booking management, travel-day coordination, arrival support). Sand-and-teal palette, no brand logos, landscape 16:9.","No prices baked into the image - they change"
"https://dubai-pet-relocation.ae/services/","Add-on services","Illustrate add-ons (crate purchase, vet visits, boarding)","Flat icon grid of add-on services","Icons only","None","Flat diagram","landscape","16:9","pet-relocation-add-on-services-icons-dubai.png","Icons of pet relocation add-on services in Dubai: crate supply, vet visits, boarding and grooming","","no","yes","Clean flat-design infographic: 2x3 icon grid for add-on services - IATA crate, stethoscope, boarding house, grooming scissors, microchip, airport-transfer van. Labels: Crate supply; Vet coordination; Boarding; Grooming; Microchipping; Airport transfer. Sand-and-teal palette, no brand logos, landscape 16:9.","Reusable icon set for other pages"
"https://dubai-pet-relocation.ae/dog-relocation-to-dubai/","Hero","Species-specific inbound hero; page already ranks - do not weaken","Labrador stepping out of an open travel crate into a Dubai apartment for the first time","Labrador","Owner crouching with open arms","Modern Dubai apartment entry, balcony light","landscape","16:9","labrador-arriving-dubai-apartment-dog-relocation.jpg","Labrador leaving its travel crate on arrival at a Dubai apartment during dog relocation to Dubai","The moment the whole journey is for: your dog, home, in Dubai.","yes","no","N/A - original photography required. Shot brief: client-consented arrival moment; inbound-journey page is a ranking asset and arrival authenticity matters","Match inbound positioning per architecture ruling 8"
"https://dubai-pet-relocation.ae/dog-relocation-to-dubai/","Crate sizing section","Support crate-sizing guidance for dogs","Diagram showing how to measure a dog for an IATA crate","Measured dog outline","None","Flat diagram","landscape","16:9","how-to-measure-dog-iata-crate-diagram.png","How to measure a dog for an IATA travel crate: nose-to-tail base, ground-to-head, shoulder width","Measure twice, fly once - the four numbers airlines check.","no","yes","Clean flat-design infographic: side-view dog outline with four labelled measurement arrows. Labels: A Nose to base of tail; B Ground to elbow; C Elbow to top of head/ears; D Widest shoulder point; Crate length = A plus half of B; Crate height = C. Sand-and-teal palette, legible typography, no brand logos, landscape 16:9.","Shared asset with /guides/iata-pet-crate-requirements/ (one diagram, two pages is fine)"
"https://dubai-pet-relocation.ae/cat-relocation-to-dubai/","Hero","Calm-first cat hero; page already ranks","Persian cat sitting inside an open top-loading carrier on a bed","Persian cat","None","Bedroom with soft morning light, Dubai high-rise window","landscape","16:9","persian-cat-open-carrier-bedroom-dubai-arrival.jpg","Persian cat sitting calmly in an open travel carrier in a Dubai bedroom before relocation","Cats travel differently. We plan for the cat, not just the flight.","no","yes","Photorealistic documentary-style image of a Persian cat sitting inside an open top-loading travel carrier on a bed, relaxed body language, Dubai apartment morning light, warm natural light, authentic Dubai/UAE context, no logos, no text, no fictional airport signs, editorial photography, landscape 16:9.","Calm expression essential - no wide-eyed stressed cats"
"https://dubai-pet-relocation.ae/cat-relocation-to-dubai/","Carrier acclimation section","Teach acclimation visually","Four-panel strip diagram of carrier acclimation steps over two weeks","Cat icons","None","Flat diagram","landscape","16:9","cat-carrier-acclimation-two-week-plan-diagram.png","Two-week cat carrier acclimation plan: carrier out, treats inside, meals inside, short practice closings","Two weeks of small steps beat one stressful morning.","no","yes","Clean flat-design infographic: four-panel horizontal sequence showing a cat carrier introduced to a home over two weeks. Labels: Days 1-4 carrier out with door open; Days 5-8 treats inside; Days 9-12 meals inside; Days 13-14 door closed for a few minutes. Sand-and-teal palette, simple cat icons, no brand logos, landscape 16:9.","Supports the no-sedation guidance section"
"https://dubai-pet-relocation.ae/service/pet-relocation-dubai/","Hero","Establish door-to-door credibility on the money head page","Handler carrying a small travel carrier with a cat inside from a Dubai apartment lobby to a waiting van","Cat in carrier","Uniformed handler (unbranded)","Dubai apartment tower lobby and curb","landscape","16:9","pet-relocation-dubai-handler-carrier-van-pickup.jpg","Handler carrying a cat carrier to a pet transport van during door-to-door pet relocation in Dubai","Door-to-door means door-to-door: collected from your lobby, delivered to the new one.","yes","no","N/A - original photography required. Shot brief: real pickup with client consent; the money page hero must withstand is-this-a-real-operator scrutiny; WebP, fetchpriority=high","Strongest E-E-A-T slot on the site"
"https://dubai-pet-relocation.ae/service/pet-relocation-dubai/","Process","Summarise the working process for skimmers","Five-stage horizontal process graphic from quote to delivery","Paw icons","None","Flat diagram","landscape","16:9","pet-relocation-dubai-process-five-stages.png","Five-stage pet relocation process in Dubai: quote, documents, booking, travel day, delivery","Five stages, one WhatsApp thread, zero guesswork.","no","yes","Clean flat-design infographic: five connected stage cards for a door-to-door pet relocation. Labels: Quote; Document check; Booking; Travel day; Delivery and reunion. Sand-and-teal palette, simple icons, no brand logos, landscape 16:9.","Keep visually distinct from the homepage 7-step asset"
"https://dubai-pet-relocation.ae/service/pet-relocation-dubai/","Detail","Show crate-sizing competence (supports cost-by-size content)","Toy poodle standing on a mat while a coordinator measures its height with a tape","Toy poodle","Coordinator measuring","Client apartment, mat on floor","landscape","4:3","measuring-toy-poodle-crate-sizing-dubai.jpg","Coordinator measuring a toy poodle for IATA crate sizing before a Dubai pet relocation","Crate size drives both safety and price - we measure your pet, not a guess from a chart.","no","yes","Photorealistic documentary-style image of a toy poodle standing on a mat being measured with a soft tape by a coordinator, client's Dubai apartment, measuring from ground to head, warm natural light, authentic Dubai/UAE context, no logos, no text, no fictional airport signs, editorial photography, landscape 4:3.","Links to the crate guide"
"https://dubai-pet-relocation.ae/service/pet-relocation-dubai/","CTA","Close the page with reassurance + quote CTA","Owner hugging a corgi beside an open crate in a new apartment","Corgi","Owner","New apartment, crate door open","landscape","16:9","corgi-reunion-owner-new-apartment-dubai.jpg","Owner reunited with their corgi in a new apartment after pet relocation to Dubai","Get a transparent quote in one message.","no","yes","Photorealistic documentary-style image of an owner kneeling to hug a corgi beside an open travel crate in a bright new apartment, emotional but natural, not staged-looking, warm natural light, authentic Dubai/UAE context, no logos, no text, no fictional airport signs, editorial photography, landscape 16:9.",""
"https://dubai-pet-relocation.ae/service/pet-import-dubai/","Hero","Represent arrival logistics at Dubai airports without fake signage","Pet travel crates on a pallet in a generic air-cargo warehouse, high roller doors, forklift out of focus","Crated boxer (in crate)","Cargo worker in plain hi-vis","Unbranded air-cargo warehouse, Dubai logistics zone","landscape","16:9","pet-import-dubai-cargo-warehouse-crates-arrival.jpg","Pet travel crates being handled in a Dubai air-cargo warehouse during pet import clearance","Landing is the middle of the journey, not the end - clearance and delivery are part of the job.","yes","no","N/A - original photography required. Shot brief: real partner cargo facility; no airport or airline signage and no logos in frame","Critical: no invented DXB signage, no airline livery"
"https://dubai-pet-relocation.ae/service/pet-import-dubai/","Process","Make the import sequence scannable","Six-step import process diagram from permit to delivery","Icons","None","Flat diagram","landscape","16:9","pet-import-dubai-process-diagram.png","Pet import process for Dubai: MOCCAE permit, health certificate, flight, customs clearance, release, home delivery","","no","yes","Clean flat-design infographic: six-step horizontal flow for importing a pet into the UAE. Labels: MOCCAE import permit; Vet health certificate; Flight booking; Arrival customs clearance; Release; Home delivery. Sand-and-teal palette, no brand logos, no fake official seals, landscape 16:9.","Fees/validity labels come from verified page copy, not baked into the image"
"https://dubai-pet-relocation.ae/service/pet-import-dubai/","Detail","Show paperwork competence without fabricating official documents","Hands assembling a document folder: vaccination card, microchip certificate, flight itinerary printout (generic layouts)","None","Coordinator hands","Desk top-down view","landscape","4:3","pet-import-document-folder-checklist-dubai.jpg","Pet import document folder for Dubai: vaccination records, microchip certificate and itinerary","One folder, every document, checked twice before anything is booked.","no","yes","Photorealistic documentary-style image of hands arranging a pet import document folder with vaccination card, microchip certificate and flight itinerary, top-down desk shot, documents generic and not resembling real government forms, warm natural light, no logos, no readable text, editorial photography, landscape 4:3.","No readable personal data, no official seals"
"https://dubai-pet-relocation.ae/service/pet-import-dubai/","CTA","End on the reunion outcome","Family opening their villa door to a handler handing over a leash, husky stepping in","Husky","Family of two + handler","Dubai villa entrance, evening","landscape","16:9","pet-import-reunion-husky-villa-door-dubai.jpg","Husky delivered home to a Dubai villa after international pet import","From any country to your front door - one coordinator the whole way.","no","yes","Photorealistic documentary-style image of a husky being handed over on a leash to its owners at a Dubai villa doorway at dusk, warm, documentary, unposed, warm natural light, authentic Dubai/UAE context, no logos, no text, no fictional airport signs, editorial photography, landscape 16:9.",""
"https://dubai-pet-relocation.ae/service/pet-export-dubai/","Hero","Represent the leaving-Dubai moment empathetically","Owner taping a moving box while a beagle watches from inside an open crate","Beagle","Owner packing","Dubai apartment mid-move, boxes","landscape","16:9","pet-export-dubai-owner-packing-beagle-crate.jpg","Owner packing moving boxes while their beagle waits in a travel crate before pet export from Dubai","Leaving Dubai is a checklist problem. We have done this checklist hundreds of times.","no","yes","Photorealistic documentary-style image of an owner taping a moving box while a beagle sits in an open travel crate nearby, half-packed Dubai apartment, warm natural light, authentic Dubai/UAE context, no logos, no text, no fictional airport signs, editorial photography, landscape 16:9.",""
"https://dubai-pet-relocation.ae/service/pet-export-dubai/","Process","Explain the export sequence","Five-step export diagram with certificate timing callout","Icons","None","Flat diagram","landscape","16:9","pet-export-dubai-process-diagram.png","Pet export process from Dubai: destination rules check, vet health certificate, MOCCAE export certificate, flight, departure","","no","yes","Clean flat-design infographic: five-step export flow with a clock icon on the certificate step. Labels: Destination rules check; Vet health certificate; MOCCAE export certificate; Flight booking; Departure day. Sand-and-teal palette, no brand logos, no fake official seals, landscape 16:9.","Validity days must match verified page copy (30-day export certificate validity)"
"https://dubai-pet-relocation.ae/service/pet-export-dubai/","Detail","Show the vet-certificate step","Vet examining a cat on a clinic table while an owner holds a document folder","Maine Coon cat","Vet in scrubs + owner","Veterinary clinic exam room","landscape","4:3","export-health-certificate-vet-exam-cat-dubai.jpg","Vet performing a pre-export health check on a Maine Coon cat in Dubai","The export health certificate has a clock on it - we time the vet visit to the flight, not the other way round.","no","yes","Photorealistic documentary-style image of a veterinarian examining a Maine Coon cat on an exam table while the owner holds a document folder, clean modern clinic, no branding, warm natural light, authentic Dubai/UAE context, no logos, no readable text, editorial photography, landscape 4:3.","Do not show any readable certificate"
"https://dubai-pet-relocation.ae/service/pet-export-dubai/","CTA","Urgent-export empathy","Open suitcase on a bed with a cat sitting in it beside a travel carrier","Siamese cat","None","Bedroom, packing scene","landscape","16:9","pet-export-cta-siamese-cat-suitcase-dubai.jpg","Siamese cat sitting in an open suitcase beside its travel carrier before a Dubai departure","Even urgent moves have a correct order. Tell us your deadline.","no","yes","Photorealistic documentary-style image of a Siamese cat sitting inside an open suitcase on a bed, travel carrier beside it, playful but real packing scene, warm natural light, authentic Dubai/UAE context, no logos, no text, editorial photography, landscape 16:9.",""
"https://dubai-pet-relocation.ae/service/pet-transport-dubai/","Hero","Prove vehicle safety standards","Interior of an unbranded climate-controlled van: two secured crates with straps, rubber matting, thermometer on wall","Crates closed (pets implied)","Handler adjusting strap","Van interior, daylight through door","landscape","16:9","pet-transport-van-interior-secured-crates-dubai.jpg","Secured pet travel crates inside a climate-controlled transport van in Dubai","Air-conditioned, strapped down, never stacked. That is the whole standard.","yes","no","N/A - original photography required. Shot brief: real partner vehicle interior; capability claim - original only","Proof-of-operations image"
"https://dubai-pet-relocation.ae/service/pet-transport-dubai/","Process","Explain local and inter-emirate transport","Simple route-map diagram Dubai to Abu Dhabi with timing","Van icon","None","Flat map diagram","landscape","16:9","dubai-abu-dhabi-pet-transport-route-map.png","Inter-emirate pet transport route between Dubai and Abu Dhabi with approximate drive time","","no","yes","Clean flat-design infographic: simplified UAE road map showing the Dubai-Abu Dhabi corridor with a van icon and a typical drive-time bubble. Labels: Dubai; Abu Dhabi; approximate drive time per page copy. Sand-and-teal palette, no brand logos, landscape 16:9.","Do not bake exact AED prices into the image"
"https://dubai-pet-relocation.ae/service/pet-transport-dubai/","Detail","Show handler care standard","Handler offering water to a leashed dog during a rest stop in shade","Border collie","Handler kneeling","Shaded parking area, mid-day","landscape","4:3","pet-transport-rest-stop-water-border-collie.jpg","Handler giving water to a border collie during a shaded rest stop on a UAE pet transport journey","Long drives get water stops. Your pet travels like a passenger, not a parcel.","no","yes","Photorealistic documentary-style image of a handler kneeling to offer a water bowl to a border collie on a leash in a shaded parking area, candid, midday shade, warm natural light, authentic Dubai/UAE context, no logos, no text, editorial photography, landscape 4:3.",""
"https://dubai-pet-relocation.ae/service/pet-transport-dubai/","CTA","Everyday pet-taxi crossover intent","Cat in a carrier being buckled into a van seat with a seatbelt adaptor","Grey domestic cat","Handler's hands","Van side door open","landscape","4:3","pet-taxi-cat-carrier-seatbelt-dubai.jpg","Cat carrier secured with a seatbelt in a Dubai pet taxi van","Vet visit, grooming run or airport transfer - book a pet-safe ride.","no","yes","Photorealistic documentary-style image of a cat carrier being secured with a seatbelt adaptor on a van seat, close crop, hands only, warm natural light, authentic Dubai/UAE context, no logos, no text, editorial photography, landscape 4:3.","Targets pet-taxi-Dubai secondary intent"
"https://dubai-pet-relocation.ae/service/international-pet-relocation/","Hero","Communicate worldwide coverage without fake country counts","Flat world map with curved route lines radiating from Dubai","Plane/paw icons","None","Flat map diagram","landscape","16:9","international-pet-relocation-world-route-map-dubai.png","World map of pet relocation routes to and from Dubai across the UK, Europe, USA, Asia and Australia","One coordinator, a vetted partner in each country, and rules that differ at every border.","no","yes","Clean flat-design infographic: stylised world map centred on the Gulf with dashed route arcs from Dubai to London, Frankfurt, New York, Toronto, Mumbai, Manila, Singapore, Sydney, Johannesburg, Riyadh. Labels: Dubai hub marker; destination dots with small city labels. Sand-and-teal palette, no brand logos, landscape 16:9.","Map is illustrative; do not claim partner or country counts in-image"
"https://dubai-pet-relocation.ae/service/international-pet-relocation/","Process","Show multi-party coordination","Coordinator at a desk with two phones and a laptop showing a shared timeline (screen generic)","None","Coordinator, candid side view","Office desk, evening","landscape","4:3","international-pet-relocation-coordinator-timeline-dubai.jpg","Coordinator managing an international pet relocation timeline from a Dubai office","Your coordinator speaks to the partner, the airline desk and the vet so you do not have to.","no","yes","Photorealistic documentary-style image of a coordinator working between two phones and a laptop showing a generic timeline view, documentary office shot, screen abstract and unreadable, warm natural light, authentic Dubai/UAE context, no logos, no text, editorial photography, landscape 4:3.",""
"https://dubai-pet-relocation.ae/service/international-pet-relocation/","Detail","Airline selection framework","Decision diagram comparing in-cabin, excess baggage and cargo options","Pet size icons","None","Flat diagram","landscape","16:9","pet-airline-options-cabin-baggage-cargo-diagram.png","How pets can fly internationally: in-cabin, as excess baggage or as manifest cargo, compared","","no","yes","Clean flat-design infographic: three-way comparison graphic of pet travel modes with suitability cues by pet size and route. Labels: In-cabin (small pets, few airlines); Excess baggage (limited routes); Manifest cargo (most long-haul, most sizes). Sand-and-teal palette, no airline logos, landscape 16:9.","No airline logos; supports the airlines section factually"
"https://dubai-pet-relocation.ae/service/international-pet-relocation/","CTA","Global reassurance","Crate with a sleeping dachshund inside, soft warehouse light through a doorway","Dachshund in crate","None","Neutral warehouse doorway, no signage","landscape","16:9","international-relocation-cta-dachshund-crate-calm.jpg","Dachshund resting in its travel crate before an international flight from Dubai","Wherever you are headed, the first step is the same: tell us the route.","no","yes","Photorealistic documentary-style image of a dachshund asleep in an open-door travel crate in a softly lit neutral warehouse doorway, no signage, no airport identifiers, warm natural light, no logos, no text, editorial photography, landscape 16:9.",""
"https://dubai-pet-relocation.ae/service/pet-relocation-to-dubai/","Hero","Inbound hero: arrival-into-new-life feeling","Owner opening a crate in a new Dubai apartment as a ginger cat steps out toward a sunny balcony","Ginger cat","Owner, back view","New apartment, balcony with skyline","landscape","16:9","pet-relocation-to-dubai-cat-arrival-new-apartment.jpg","Cat stepping out of its travel crate into a new Dubai apartment after relocating to Dubai","The paperwork ends here: your pet, exploring their new Dubai home.","no","yes","Photorealistic documentary-style image of a ginger cat stepping out of an open travel crate toward a sunny balcony in a new Dubai apartment, first-arrival curiosity, skyline soft in background, warm natural light, authentic Dubai/UAE context, no logos, no text, no fictional airport signs, editorial photography, landscape 16:9.",""
"https://dubai-pet-relocation.ae/service/pet-relocation-to-dubai/","Process","Give inbound movers the full-journey map","Eight-step inbound journey diagram from home-country vet to Dubai home","Icons","None","Flat diagram","landscape","16:9","pet-relocation-to-dubai-inbound-journey-diagram.png","Inbound pet relocation journey to Dubai from first vet visit to home delivery","","no","yes","Clean flat-design infographic: two-row eight-step journey arc for moving a pet to Dubai. Labels: Home-country vet; Vaccinations; Titer test if required; MOCCAE import permit; Flight; DXB/AUH clearance; Home delivery; Settling in. Sand-and-teal palette, no brand logos, no fake official seals, landscape 16:9.","'Titer test if required' wording mirrors the conditional rules"
