Claim,URL,Evidence,Evidence URL/internal reference,Verified?,Date checked,Keep/change/remove
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/service/pet-import-dubai/,Pets must enter the UAE as manifested air cargo — not in the cabin and not as checked baggage — and travel in an IATA-compliant crate.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-import-dubai/,We do not fly the animals ourselves and we are not a MOCCAE-licensed agency.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-import-dubai/,We give you the exact MOCCAE certificate model so your origin vet completes it correctly.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/service/pet-import-dubai/,"7 Book an IATA crate and pet-experienced flight We help size an IATA-compliant crate — rigid plastic, metal bolts, metal door, ventilation on all four sides and tall enough for your pet to stand naturally.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-import-dubai/,"We do not hold a MOCCAE license ourselves — we guide you through the MOCCAE requirements and, on our higher service tiers, coordinate the submission through vetted partners.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/service/pet-import-dubai/,"Cost component Typical range (AED) MOCCAE import permit 200 per pet Airport release / veterinary inspection 250 (cat) – 500 (dog) Veterinary (vaccines, health cert, titer) 1,200 – 3,000 IATA-compliant crate 300 – 2,000 Flight / manifested cargo 3,000 – 12,000+ Coordination & handling 1,500 – 6,000 The single largest variable is the flight.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Other factual trust claim,https://dubai-pet-relocation.ae/service/pet-import-dubai/,"Separately, Dubai restricts certain breeds from living in apartments and requires them to be leashed and muzzled in public and registered with the Veterinary Services Division — these include the Bull Terrier, Husky, English Bulldog, Ca de Bou, Bulldog and Shar Pei.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-import-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-export-dubai/,"Whether you are repatriating after a posting, moving for a new job or relocating the whole family, taking your dog or cat out of Dubai follows a clear sequence: update the vet paperwork, confirm what the destination requires, get a Fit to Fly certificate, obtain the MOCCAE export health certificate, pass the in-person inspection at the airport and travel.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-export-dubai/,3 MOCCAE export health certificate We guide the application for the MOCCAE export health certificate on the MOCCAE portal.,needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/service/pet-export-dubai/,5 Travel day Your pet travels per IATA Live Animals Regulations in an approved crate.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-export-dubai/,MOCCAE Export Permit and Health Certificate The MOCCAE export health certificate is the document that authorises your pet to leave the UAE.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-export-dubai/,"What you need to satisfy is the destination country, plus this MOCCAE certificate and its inspection.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-export-dubai/,"Cost component Typical range (AED) Veterinary documentation 200 – 1,000+ Fit to Fly certificate 100 – 300 MOCCAE export certificate Government fee applies Rabies titer test (if destination requires) 500 – 1,200 Flight / cargo 2,000 – 8,000+ Coordination & handling 1,000 – 5,000 These are typical ranges, not a fixed quote.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-export-dubai/,What is the MOCCAE export health certificate?,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-export-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-transport-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Volume claim (reviews/countries),https://dubai-pet-relocation.ae/service/international-pet-relocation/,We coordinate the whole journey to and from Dubai across more than 50 countries so nothing falls through the gaps.,needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/service/international-pet-relocation/,"We do not physically fly the animals ourselves — we connect you with vetted veterinary, crate and ground-handling partners, work with pet-experienced airlines, and make sure the documentation and timing are correct for your specific destination.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/service/international-pet-relocation/,"4 Crate and flight booking We help size an IATA-compliant crate through vetted partners and coordinate a routing on a pet-experienced airline, choosing connections and transit airports that suit your animal.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Other factual trust claim,https://dubai-pet-relocation.ae/service/international-pet-relocation/,We work with pet-experienced airlines flying out of Dubai and coordinate connections that keep transit times and handling stress to a minimum.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/international-pet-relocation/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/service/pet-relocation-to-dubai/,"That is a regulatory requirement for entry, not a service tier — it means the journey is built around an airline that carries live animals safely, an IATA-compliant crate, and a customs clearance step at the cargo terminal on arrival.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/service/pet-relocation-to-dubai/,7 Book the flight and fit the crate We help size an IATA-compliant crate for your pet and coordinate a booking on a pet-experienced airline as manifested cargo.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-relocation-to-dubai/,We can help with export documentation and MOCCAE certificates whenever that day comes — see our pet relocation from Dubai service for what leaving involves.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-relocation-to-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-relocation-from-dubai/,"The UAE side — a MOCCAE export health certificate and a veterinary inspection — is comparatively quick, but it has to line up precisely with the destination paperwork and your flight.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-relocation-from-dubai/,"4 MOCCAE export certificate and inspection Close to travel, we guide the MOCCAE export health certificate.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/service/pet-relocation-from-dubai/,"5 Crate and flight booking We help size an IATA-compliant crate and coordinate a pet-experienced flight and cargo booking, factoring in seasonal and snub-nosed breed restrictions that some airlines apply.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/service/pet-relocation-from-dubai/,"Cost component Typical range (AED) MOCCAE export certificate and related fees 300 – 700 Veterinary work (vaccines, health cert, titer test) 1,200 – 3,000 IATA-compliant crate 110 – 1,500 Flight and cargo 3,000 – 14,000+ Coordination and handling 1,500 – 6,000 Where the destination requires arrival quarantine, that facility cost is separate and is charged by the destination country, not by us.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-relocation-from-dubai/,What is the MOCCAE export certificate and when is it issued?,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/pet-relocation-from-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/service/dog-relocation-dubai/,We help you measure your dog and match it to the correct IATA size code through our vetted partners.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/dog-relocation-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/cat-relocation-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/moccae-pet-permit/,"Every pet imported to Dubai needs a MOCCAE import permit, and every pet leaving Dubai needs a MOCCAE export health certificate.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/moccae-pet-permit/,We are not MOCCAE-licensed and we do not issue permits — only the Ministry can do that.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/moccae-pet-permit/,"5 Track approval and download the permit MOCCAE reviews the application and, once approved, issues the permit digitally.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/moccae-pet-permit/,How to Apply for a MOCCAE Export Permit Leaving Dubai with your pet requires a MOCCAE export health certificate rather than an import permit.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/moccae-pet-permit/,"We check the paperwork before it ever reaches MOCCAE, so the application goes in clean and comes back approved.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/service/moccae-pet-permit/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/dubai-marina/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/dubai/jumeirah/,"3 Crate and booking (Weeks 3–5) We size and source an IATA-compliant crate, acclimate timing with you, and book the right flight and cargo route for your pet.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/jumeirah/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/dubai/jbr/,"4 Crate and flight We size an IATA-compliant crate, acclimate your pet to it, and book the right flight and cargo path through DXB or DWC.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/jbr/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/dubai/downtown-dubai/,"4 Crate and flight We size an IATA-compliant crate, acclimate your pet to it, and book the right flight and cargo path through DXB or DWC.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/downtown-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/dubai/palm-jumeirah/,"3 Crate and booking (Weeks 3–5) We size and source an IATA-compliant crate, agree acclimation timing with you, and book the right flight and cargo route for your pet.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/palm-jumeirah/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/business-bay/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/al-barsha/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/arabian-ranches/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/mirdif/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/dubai-silicon-oasis/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/jlt/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/jvc/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/jvt/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/dubai-hills/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/dubai-south/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/al-quoz/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/deira/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/bur-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/karama/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/sheikh-zayed-road/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/al-satwa/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/umm-suqeim/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/al-wasl/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/city-walk/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/bluewaters/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/port-de-la-mer/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/creek-harbour/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/mudon/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/victory-heights/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/sports-city/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/motor-city/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/international-city/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/dubai-investment-park/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/dubai-production-city/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/al-furjan/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/damac-hills/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/damac-hills-2/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/emaar-south/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/dubailand/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/dubai/meydan/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/guides/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/guides/pet-relocation-cost-dubai/,"International Health Certificate + Endorsement 400–1,500 Issued by an accredited government vet within 10 days of travel.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Other factual trust claim,https://dubai-pet-relocation.ae/guides/pet-relocation-cost-dubai/,"We work with vets in Mumbai, Delhi, and Bangalore who understand the UAE export requirements.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/guides/pet-relocation-cost-dubai/,"Buy IATA crate Research, measure, order 500–2,000 Non-compliant crate = refused at check-in.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/guides/pet-relocation-cost-dubai/,"We coordinate with vetted partners — veterinarians, cargo handlers, ground transport teams — to manage every step of your pet's journey.",needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/guides/pet-relocation-cost-dubai/,We guide you through MOCCAE import requirements and work with vetted relocation partners.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/guides/pet-relocation-cost-dubai/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
License/certification claim,https://dubai-pet-relocation.ae/guides/uae-pet-import-requirements/,International Health Certificate: issued by a government-accredited veterinarian within 10 days of arrival.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/guides/uae-pet-import-requirements/,"You (or your agent) present the MOCCAE import permit, original health certificate, vaccination records, microchip certificate, titer test result (if applicable), antiparasitic treatment record, and owner's passport and UAE visa.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/guides/uae-pet-import-requirements/,"Advance notice: Minimum 72 hours Crate: IATA-approved, rigid, leak-proof.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/guides/uae-pet-import-requirements/,We coordinate with our partner clinics What Happens If Your Documents Are Wrong This is the section most pet owners skip — and the one that causes the most pain.,needs manual verification,needs manual verification,2026-09-04,REVIEW
MOCCAE-related claim,https://dubai-pet-relocation.ae/guides/uae-pet-import-requirements/,"We guide you through MOCCAE requirements, vetted partners and door-to-door delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/how-it-works/,"You do Approve the partner match and service tier We do Select and brief the right vet, cargo agent, and ground transport partner Typical timeline: 1–2 days 4 4 Booking & Coordination 3–10 days This is where the logistics come together.",needs manual verification,needs manual verification,2026-09-04,REVIEW
IATA/IPATA compliance or membership claim,https://dubai-pet-relocation.ae/how-it-works/,"We book your pet's manifest cargo flight with the airline's cargo department, your IATA-certified travel crate measured to your pet's exact dimensions, your vet appointment for the pre-travel health certificate, your MOCCAE permit application, and your ground transport for pickup and delivery.",needs manual verification,needs manual verification,2026-09-04,REVIEW
Partnership/vetting claim,https://dubai-pet-relocation.ae/how-it-works/,"Vet visit: Our partner vet examines your pet, issues the international health certificate, and administers any required antiparasitic treatment.",needs manual verification,needs manual verification,2026-09-04,REVIEW
