filename,aspect_ratio,alt_text,status,bytes,delivered_path
pet-airline-options-cabin-baggage-cargo-diagram.png,16:9,"How pets can fly internationally: in-cabin, as excess baggage or as manifest cargo, compared",delivered,1715542,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/pet-airline-options-cabin-baggage-cargo-diagram.png
pet-relocation-dubai-process-five-stages.png,16:9,"Five-stage pet relocation process in Dubai: quote, documents, booking, travel day, delivery",delivered,1457946,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/pet-relocation-dubai-process-five-stages.png
measuring-toy-poodle-crate-sizing-dubai.jpg,4:3,Hands measuring a toy poodle with a tape for IATA crate sizing before a Dubai pet relocation,delivered-v4,2582000,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/measuring-toy-poodle-crate-sizing-dubai.jpg
pet-relocation-from-dubai-husky-balcony-golden-hour.jpg,16:9,Husky sitting beside a packed travel crate on a Dubai balcony before relocating from Dubai,delivered-v4,2249155,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/pet-relocation-from-dubai-husky-balcony-golden-hour.jpg
pet-relocation-from-dubai-outbound-journey-diagram.png,16:9,Outbound pet relocation journey from Dubai with destination-specific rules highlighted,delivered,1548506,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/pet-relocation-from-dubai-outbound-journey-diagram.png
export-documents-crate-pouch-checklist-dubai.jpg,4:3,Export documents pouch secured to a pet travel crate before departure from Dubai,delivered,2088355,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/export-documents-crate-pouch-checklist-dubai.jpg
pet-relocation-to-dubai-cat-arrival-new-apartment.jpg,16:9,Cat stepping out of its travel crate into a new Dubai apartment after relocating to Dubai,delivered,1963302,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/pet-relocation-to-dubai-cat-arrival-new-apartment.jpg
pet-relocation-to-dubai-inbound-journey-diagram.png,16:9,Inbound pet relocation journey to Dubai from first vet visit to home delivery,delivered,1381557,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/pet-relocation-to-dubai-inbound-journey-diagram.png
settling-in-first-week-dubai-spaniel-pet-corner.jpg,4:3,Cocker spaniel sniffing a pet bed in a new Dubai apartment during the first week after relocation,delivered-v4,2447635,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/settling-in-first-week-dubai-spaniel-pet-corner.jpg
dubai-abu-dhabi-pet-transport-route-map.png,16:9,Inter-emirate pet transport route between Dubai and Abu Dhabi with approximate drive time,delivered,1749956,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/dubai-abu-dhabi-pet-transport-route-map.png
pet-transport-rest-stop-water-border-collie.jpg,4:3,Handler giving water to a border collie during a shaded rest stop on a UAE pet transport journey,delivered-v3,2472565,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/pet-transport-rest-stop-water-border-collie.jpg
pet-relocation-service-tiers-comparison-dubai.png,16:9,"Comparison of PawPilot, PawPartner and PawVIP pet relocation service tiers in Dubai",delivered,1279339,/workspace/seo-strategy-q4/SEO-MASTER/assets-w1-w3-delivered/pet-relocation-service-tiers-comparison-dubai.png
