claim,scope,source_url,source_type,checked_date,reviewer,status,recheck_trigger,dependent_pages
"High-risk minimum import age not less than 15 weeks",age,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,Age sentence changes,/guides/uae-pet-import-requirements/
"Health certificate universally valid 5 or 10 days under MOCCAE",health certificate,https://moccae.gov.ae/en/services/import-permit-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,unverified,Live page requires an authorised certificate and does not state that day count. UK 10-day validity is certificate-specific.,/guides/uae-pet-import-requirements/
"Emirates: ordinary pets not in the cabin; itineraries ending in Dubai must travel as cargo",airline,https://www.emirates.com/ae/english/help/faq-topics/baggage-and-lost-property/faq/what-are-the-rules-and-charges-for-travelling-with-animals/,primary_official,2026-09-22,AI source review; veterinary review not supplied,verified,FAQ changes,/routes/uk-to-dubai/; /dog-relocation-to-dubai/; /cat-relocation-to-dubai/; /guides/uae-pet-import-requirements/
"Emirates pet form: at least one week notice; animals older than four months",airline,https://www.emirates.com/ae/english/help/forms/pets-travel/,primary_official,2026-09-22,AI source review; veterinary review not supplied,narrowed,Form page also discusses excess baggage. Cited as an airline condition to confirm not as the government age rule.,/routes/uk-to-dubai/; /cat-relocation-to-dubai/
"Emirates excess-baggage animal rates are not a UK-to-Dubai cargo tariff",airline,https://www.emirates.com/ae/english/help/faq-topics/baggage-and-lost-property/faq/what-are-the-rules-and-charges-for-travelling-with-animals/,primary_official,2026-09-22,AI source review; veterinary review not supplied,narrowed,Those rates are for eligible trips starting in Dubai,/routes/uk-to-dubai/; /guides/uae-pet-import-requirements/
"British Airways: pets travel in the hold not the cabin; UK export arranged with PetAir UK; assistance dogs separate",airline,https://www.britishairways.com/content/information/travel-assistance/travelling-with-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,narrowed,Full page fetch timed out. Claim limited to indexed official text. No frequency temperature or Dubai tariff.,/routes/uk-to-dubai/; /guides/uae-pet-import-requirements/
"IAG Cargo: some dangerous dog breeds and snub-nosed cats and dogs may not be accepted; IATA LAR",airline,https://www.iagcargo.com/en/products/pets/,primary_official,2026-09-22,AI source review; veterinary review not supplied,narrowed,Search snippet of the official pets page. No month-by-month embargo copied.,/routes/uk-to-dubai/; /dog-relocation-to-dubai/; /cat-relocation-to-dubai/
"Etihad cabin weight size fare and AED 365 bill of entry",airline,https://www.etihad.com/en-ae/plan/travel-companion/travelling-with-pets,primary_official,2026-09-22,AI source review; veterinary review not supplied,unverified,Page fetch timed out. Numbers removed from the five URLs.,/dog-relocation-to-dubai/; /cat-relocation-to-dubai/; /guides/uae-pet-import-requirements/
"Daily LHR-DXB flights 6h45m hold at 16-18C or 18-24C 2-4 hour clearance",operations,none,not_a_source,2026-09-22,AI source review; veterinary review not supplied,unverified,Not on the primary pages checked. Removed.,/routes/uk-to-dubai/; /dog-relocation-to-dubai/
"Marina drive about 30 minutes and universal service-lift rule",community,none,not_a_source,2026-09-22,AI source review; veterinary review not supplied,unverified,No municipal or building by-law checked. Replaced with ask-the-building wording.,/dubai/dubai-marina/
"Dubai Municipality registration within 30 days and a fee near AED 10",municipal,none,not_a_source,2026-09-22,AI source review; veterinary review not supplied,unverified,No municipal page opened this pass. Deadline and fee removed. 30 days must not be read as permit validity.,/guides/uae-pet-import-requirements/
"Named customer reviews and 15-minute reply or photo-at-every-step promises",trust,none,not_a_source,2026-09-22,AI source review; veterinary review not supplied,narrowed,No evidence of real named customers. Removed from dog and cat pages.,/dog-relocation-to-dubai/; /cat-relocation-to-dubai/
