family,seed,location_code,language,slug_hint,question,owner_url,cluster,notes,source,volume,raw_file
UK,bring dog from UK to Dubai,2826,en,uk-to-dubai,Can I take my dog to live with me in Dubai?,/routes/uk-to-dubai/,corridor,Corridor-specific eligibility / how-to — route page owns,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__bring-dog-from-uk-to-dubai__loc2826.json
UK,bring dog from UK to Dubai,2826,en,uk-to-dubai,Do I need a permit to import my dog into the UAE?,/guides/moccae-import-permit/,moccae,MOCCAE/permit how-to → moccae guide; route may mention 30-day validity in rules,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/uk__bring-dog-from-uk-to-dubai__loc2826.json
USA,pet relocation USA to Dubai,2784,en,usa-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/usa__pet-relocation-usa-to-dubai__loc2784.json
USA,pet relocation USA to Dubai,2784,en,usa-to-dubai,How much does it cost to import a pet into the UAE?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/usa__pet-relocation-usa-to-dubai__loc2784.json
USA,pet relocation USA to Dubai,2784,en,usa-to-dubai,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/usa__pet-relocation-usa-to-dubai__loc2784.json
USA,pet relocation USA to Dubai,2784,en,usa-to-dubai,Does Emirates allow pets in cargo?,/guides/emirates-pet-cargo/,airline-policy,Airline policy → Emirates guide NOT route page,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/usa__pet-relocation-usa-to-dubai__loc2784.json
USA,pet relocation Dubai to USA,2784,en,dubai-to-usa,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/usa__pet-relocation-dubai-to-usa__loc2784.json
USA,pet relocation Dubai to USA,2784,en,dubai-to-usa,How much does it cost to ship from Dubai to the USA?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/usa__pet-relocation-dubai-to-usa__loc2784.json
USA,pet relocation Dubai to USA,2784,en,dubai-to-usa,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/usa__pet-relocation-dubai-to-usa__loc2784.json
USA,pet relocation Dubai to USA,2784,en,dubai-to-usa,Does Emirates allow pets in cargo?,/guides/emirates-pet-cargo/,airline-policy,Airline policy → Emirates guide NOT route page,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/usa__pet-relocation-dubai-to-usa__loc2784.json
Canada,pet relocation Canada to Dubai,2784,en,canada-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/canada__pet-relocation-canada-to-dubai__loc2784.json
Canada,pet relocation Canada to Dubai,2784,en,canada-to-dubai,How much does it cost to import a pet into the UAE?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/canada__pet-relocation-canada-to-dubai__loc2784.json
Canada,pet relocation Canada to Dubai,2784,en,canada-to-dubai,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/canada__pet-relocation-canada-to-dubai__loc2784.json
Canada,pet relocation Canada to Dubai,2784,en,canada-to-dubai,Can I take my dog to live with me in Dubai?,/dog-relocation-to-dubai/,species,Generic Dubai dog inbound → species page; corridor pages link up,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/canada__pet-relocation-canada-to-dubai__loc2784.json
Canada,pet relocation Dubai to Canada,2784,en,dubai-to-canada,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/canada__pet-relocation-dubai-to-canada__loc2784.json
Canada,pet relocation Dubai to Canada,2784,en,dubai-to-canada,Can I bring my pet if I move to Canada?,/routes/dubai-to-canada/,corridor,Corridor-specific eligibility / how-to — route page owns,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/canada__pet-relocation-dubai-to-canada__loc2784.json
Canada,pet relocation Dubai to Canada,2784,en,dubai-to-canada,Which pet relocation company is the most reliable and trustworthy in the UAE?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/canada__pet-relocation-dubai-to-canada__loc2784.json
Canada,pet relocation Dubai to Canada,2784,en,dubai-to-canada,What is the easiest country to move to with pets?,HOLD,hold,Generic lifestyle — not OD-specific,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/canada__pet-relocation-dubai-to-canada__loc2784.json
Australia_NZ,pet relocation Australia to Dubai,2784,en,australia-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-australia-to-dubai__loc2784.json
Australia_NZ,pet relocation Australia to Dubai,2784,en,australia-to-dubai,How much does it cost to import a pet into the UAE?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-australia-to-dubai__loc2784.json
Australia_NZ,pet relocation Australia to Dubai,2784,en,australia-to-dubai,Which pet relocation company is the most reliable and trustworthy in the UAE?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-australia-to-dubai__loc2784.json
Australia_NZ,pet relocation Australia to Dubai,2784,en,australia-to-dubai,How much does it cost to take pets overseas from Australia?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-australia-to-dubai__loc2784.json
Australia_NZ,pet relocation Dubai to Australia,2784,en,dubai-to-australia,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-dubai-to-australia__loc2784.json
Australia_NZ,pet relocation Dubai to Australia,2784,en,dubai-to-australia,What are the requirements for relocating a pet to Australia?,/routes/dubai-to-australia/,corridor,Destination-entry requirements for outbound corridor page,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-dubai-to-australia__loc2784.json
Australia_NZ,pet relocation Dubai to Australia,2784,en,dubai-to-australia,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-dubai-to-australia__loc2784.json
Australia_NZ,pet relocation Dubai to Australia,2784,en,dubai-to-australia,Can I take my dog if I move to Australia?,/routes/dubai-to-australia/,corridor,Corridor-specific eligibility / how-to — route page owns,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-dubai-to-australia__loc2784.json
Australia_NZ,pet relocation New Zealand to Dubai,2784,en,new-zealand-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-new-zealand-to-dubai__loc2784.json
Australia_NZ,pet relocation New Zealand to Dubai,2784,en,new-zealand-to-dubai,How much does it cost to import a pet into the UAE?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-new-zealand-to-dubai__loc2784.json
Australia_NZ,pet relocation New Zealand to Dubai,2784,en,new-zealand-to-dubai,How much does it cost to transport a pet in New Zealand?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-new-zealand-to-dubai__loc2784.json
Australia_NZ,pet relocation New Zealand to Dubai,2784,en,new-zealand-to-dubai,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/australia_nz__pet-relocation-new-zealand-to-dubai__loc2784.json
SouthAsia_PH,pet relocation India to Dubai,2784,en,india-to-dubai,Can we take pets from India to the UAE?,/routes/india-to-dubai/,corridor,Corridor-specific eligibility / how-to — route page owns,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-india-to-dubai__loc2784.json
SouthAsia_PH,pet relocation India to Dubai,2784,en,india-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-india-to-dubai__loc2784.json
SouthAsia_PH,pet relocation India to Dubai,2784,en,india-to-dubai,Is relocation of stray dogs legal in India?,HOLD,hold,India stray-dog legality — not relocation corridor,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-india-to-dubai__loc2784.json
SouthAsia_PH,pet relocation India to Dubai,2784,en,india-to-dubai,Which pet relocation company is the best in India?,/service/pet-relocation-dubai/,best-company,Company-quality PAA — interim money page; India-local company SERP is weak fit for DPR route page (teaser only),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-india-to-dubai__loc2784.json
SouthAsia_PH,pet relocation Dubai to Philippines,2784,en,dubai-to-philippines,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-dubai-to-philippines__loc2784.json
SouthAsia_PH,pet relocation Dubai to Philippines,2784,en,dubai-to-philippines,How much does it cost to transport a pet in the Philippines?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-dubai-to-philippines__loc2784.json
SouthAsia_PH,pet relocation Dubai to Philippines,2784,en,dubai-to-philippines,How much does it cost to ship a dog to the Philippines?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-dubai-to-philippines__loc2784.json
SouthAsia_PH,pet relocation Dubai to Philippines,2784,en,dubai-to-philippines,Can I take my dog if I move to the Philippines?,/routes/dubai-to-philippines/,corridor,Corridor-specific eligibility / how-to — route page owns,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-dubai-to-philippines__loc2784.json
SouthAsia_PH,pet relocation Pakistan to Dubai,2784,en,pakistan-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-pakistan-to-dubai__loc2784.json
SouthAsia_PH,pet relocation Pakistan to Dubai,2784,en,pakistan-to-dubai,How much does it cost to import a pet into the UAE?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-pakistan-to-dubai__loc2784.json
SouthAsia_PH,pet relocation Pakistan to Dubai,2784,en,pakistan-to-dubai,What are the requirements to move my pet to the UAE?,/guides/uae-pet-import-requirements/,import-reqs,General UAE import requirements → import guide; quarantine deep-dive stays here FAQ-only,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-pakistan-to-dubai__loc2784.json
SouthAsia_PH,pet relocation Pakistan to Dubai,2784,en,pakistan-to-dubai,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/southasia_ph__pet-relocation-pakistan-to-dubai__loc2784.json
GCC,pet relocation Saudi Arabia to Dubai,2784,en,saudi-arabia-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/gcc__pet-relocation-saudi-arabia-to-dubai__loc2784.json
GCC,pet relocation Saudi Arabia to Dubai,2784,en,saudi-arabia-to-dubai,How can I export my pet from Saudi Arabia?,/routes/saudi-arabia-to-dubai/,corridor,Origin-export how-to for SA→Dubai corridor; deep-link export/MOCCAE as needed,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/gcc__pet-relocation-saudi-arabia-to-dubai__loc2784.json
GCC,pet relocation Saudi Arabia to Dubai,2784,en,saudi-arabia-to-dubai,How much does it cost to import a pet into the UAE?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/gcc__pet-relocation-saudi-arabia-to-dubai__loc2784.json
GCC,pet relocation Saudi Arabia to Dubai,2784,en,saudi-arabia-to-dubai,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/gcc__pet-relocation-saudi-arabia-to-dubai__loc2784.json
GCC,pet relocation Qatar to Dubai,2784,en,qatar-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/gcc__pet-relocation-qatar-to-dubai__loc2784.json
GCC,pet relocation Qatar to Dubai,2784,en,qatar-to-dubai,Where can I give my cat away in Qatar?,HOLD,hold,Rehoming/giveaway — not relocation,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/gcc__pet-relocation-qatar-to-dubai__loc2784.json
GCC,pet relocation Qatar to Dubai,2784,en,qatar-to-dubai,How much does it cost to import a pet into the UAE?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/gcc__pet-relocation-qatar-to-dubai__loc2784.json
GCC,pet relocation Qatar to Dubai,2784,en,qatar-to-dubai,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/gcc__pet-relocation-qatar-to-dubai__loc2784.json
Europe,pet relocation Germany to Dubai,2784,en,germany-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-germany-to-dubai__loc2784.json
Europe,pet relocation Germany to Dubai,2784,en,germany-to-dubai,How much does it cost to import a pet into the UAE?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-germany-to-dubai__loc2784.json
Europe,pet relocation Germany to Dubai,2784,en,germany-to-dubai,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-germany-to-dubai__loc2784.json
Europe,pet relocation Germany to Dubai,2784,en,germany-to-dubai,Can I import dogs into Dubai?,/routes/germany-to-dubai/,corridor,Appeared on Germany inbound seed — corridor FAQ OK; also link /dog-relocation-to-dubai/,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-germany-to-dubai__loc2784.json
Europe,pet relocation Dubai to Germany,2784,en,dubai-to-germany,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-dubai-to-germany__loc2784.json
Europe,pet relocation Dubai to Germany,2784,en,dubai-to-germany,How much does it cost to fly my dog to Germany?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-dubai-to-germany__loc2784.json
Europe,pet relocation Dubai to Germany,2784,en,dubai-to-germany,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-dubai-to-germany__loc2784.json
Europe,pet relocation Dubai to Germany,2784,en,dubai-to-germany,Is Germany a pet friendly country?,HOLD,hold,Lifestyle amenity — weak corridor fit; HOLD unless short pointer,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-dubai-to-germany__loc2784.json
Europe,pet relocation France to Dubai,2784,en,france-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-france-to-dubai__loc2784.json
Europe,pet relocation France to Dubai,2784,en,france-to-dubai,How much does it cost to import a pet into the UAE?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-france-to-dubai__loc2784.json
Europe,pet relocation France to Dubai,2784,en,france-to-dubai,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-france-to-dubai__loc2784.json
Europe,pet relocation France to Dubai,2784,en,france-to-dubai,Which airline to Dubai allows pets?,/guides/pet-flight-options-dubai/,airline-policy,Airline chooser → flight-options hub; route may name OD carriers with confirm-current-policy only,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/europe__pet-relocation-france-to-dubai__loc2784.json
Africa,pet relocation South Africa to Dubai,2784,en,south-africa-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/africa__pet-relocation-south-africa-to-dubai__loc2784.json
Africa,pet relocation South Africa to Dubai,2784,en,south-africa-to-dubai,Which pet relocation company is the most reliable and trustworthy in the UAE?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/africa__pet-relocation-south-africa-to-dubai__loc2784.json
Africa,pet relocation South Africa to Dubai,2784,en,south-africa-to-dubai,How much does it cost to fly my dog to South Africa?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/africa__pet-relocation-south-africa-to-dubai__loc2784.json
Africa,pet relocation South Africa to Dubai,2784,en,south-africa-to-dubai,What is the easiest country to move to with pets?,HOLD,hold,Generic lifestyle — not OD-specific,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/africa__pet-relocation-south-africa-to-dubai__loc2784.json
Africa,pet relocation Egypt to Dubai,2784,en,egypt-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/africa__pet-relocation-egypt-to-dubai__loc2784.json
Africa,pet relocation Egypt to Dubai,2784,en,egypt-to-dubai,How much does it cost to import a pet into the UAE?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/africa__pet-relocation-egypt-to-dubai__loc2784.json
Africa,pet relocation Egypt to Dubai,2784,en,egypt-to-dubai,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/africa__pet-relocation-egypt-to-dubai__loc2784.json
Africa,pet relocation Egypt to Dubai,2784,en,egypt-to-dubai,Does Emirates allow pets in cargo?,/guides/emirates-pet-cargo/,airline-policy,Airline policy → Emirates guide NOT route page,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/africa__pet-relocation-egypt-to-dubai__loc2784.json
SE_EastAsia,pet relocation Singapore to Dubai,2784,en,singapore-to-dubai,How much does it cost to relocate a pet in Dubai?,/guides/pet-relocation-cost-dubai/,cost,"Cost PAAs → cost guide; route page teaser+link only, no fee numerals",dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/se_eastasia__pet-relocation-singapore-to-dubai__loc2784.json
SE_EastAsia,pet relocation Singapore to Dubai,2784,en,singapore-to-dubai,What is the best pet relocation service in Dubai?,/service/pet-relocation-dubai/,best-company,Best/reliable service → money page interim (companies guide when live),dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/se_eastasia__pet-relocation-singapore-to-dubai__loc2784.json
SE_EastAsia,pet relocation Singapore to Dubai,2784,en,singapore-to-dubai,Does Singapore Airlines allow pets to fly?,/guides/pet-flight-options-dubai/,airline-policy,Carrier policy → flight-options hub (or future SQ guide); NOT Qatar/GCC route page; NOT corridor route,dataforseo_serp_paa,,/workspace/seo-strategy-q4/dataforseo/routes-paa/se_eastasia__pet-relocation-singapore-to-dubai__loc2784.json
